time,open,high,low,close,volume,note
2025-05-28,4.2800,4.3200,4.2500,4.2800,152949572,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-05-29,4.2800,4.3100,4.2600,4.3000,207895388,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-05-30,4.3100,4.3700,4.3000,4.3500,234220649,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-06-03,4.3400,4.5200,4.3300,4.4800,354059750,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-06-04,4.4800,4.5400,4.4700,4.5000,188219694,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-06-05,4.5100,4.5200,4.4200,4.4500,157571399,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-06-06,4.4500,4.5300,4.4400,4.4800,159058635,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-06-09,4.4900,4.6100,4.4800,4.5900,294167673,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-06-10,4.6000,4.7700,4.5900,4.7200,364415071,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-06-11,4.7300,4.7400,4.6400,4.7300,230854311,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-06-12,4.7300,4.8100,4.6700,4.8000,237030595,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-06-13,4.8000,4.8200,4.7200,4.7700,232361578,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-06-16,4.7500,4.8100,4.7200,4.8000,202632945,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-06-17,4.7900,4.8100,4.7100,4.7200,196755591,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-06-18,4.7200,4.7600,4.6700,4.7400,182453475,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-06-19,4.7400,4.7500,4.6500,4.6800,181776629,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-06-20,4.7000,4.8200,4.6800,4.7900,240551035,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-06-23,4.7800,4.8200,4.7200,4.8000,199515304,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-06-24,4.8000,4.8100,4.7000,4.7900,250365075,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-06-25,4.7800,4.8300,4.7200,4.8300,201873423,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-06-26,4.8100,4.9300,4.7600,4.8900,236770757,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-06-27,4.8800,4.9800,4.7500,4.7800,326464149,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-06-30,4.7500,4.7800,4.7200,4.7500,162365832,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-07-01,4.7500,4.8600,4.7500,4.8500,180887323,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-07-02,4.8400,4.9800,4.8300,4.9500,241188216,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-07-03,4.9600,5.0000,4.9100,4.9500,147220647,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-07-04,4.9600,5.1000,4.9500,5.0900,285530953,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-07-07,5.1000,5.2900,5.0900,5.2600,320537378,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-07-08,5.2700,5.3300,5.2100,5.2700,229856712,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-07-09,5.2600,5.3000,5.2000,5.2700,232443246,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-07-10,5.2700,5.6800,5.2700,5.5500,600494726,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-07-11,5.5800,5.6000,5.4000,5.4000,434425559,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-07-14,5.3700,5.5300,5.3600,5.3700,457936720,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-07-15,5.3700,5.4100,5.3100,5.3400,237976459,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-07-16,5.3300,5.3600,5.2500,5.3400,226776669,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-07-17,5.3400,5.4300,5.3300,5.4100,254551362,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-07-18,5.4000,5.5200,5.4000,5.4400,295444584,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-07-21,5.4400,5.5000,5.3200,5.3900,289156328,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-07-22,5.4000,5.4100,5.2200,5.2600,346549063,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-07-23,5.2600,5.2900,5.2100,5.2300,267852469,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-07-24,5.2500,5.2500,5.0700,5.1000,388463174,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-07-25,5.0900,5.1100,5.0300,5.0500,342969639,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-07-28,5.0500,5.0900,5.0200,5.0400,275468334,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-07-29,5.0500,5.1000,4.9200,4.9400,385986864,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-07-30,4.9600,5.0000,4.9100,4.9300,310191079,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-07-31,4.9400,4.9400,4.8300,4.8900,273003368,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-08-01,4.8900,4.9100,4.8200,4.9000,247547079,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-08-04,4.8800,4.9900,4.8600,4.9300,312651474,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-08-05,4.9400,5.0600,4.9200,5.0500,387189479,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-08-06,5.0400,5.0600,4.9700,4.9800,263822600,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-08-07,4.9700,4.9900,4.9300,4.9700,155077265,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-08-08,4.9800,5.0300,4.9600,4.9700,202608762,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-08-11,4.9600,4.9800,4.8900,4.8900,224350219,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-08-12,4.8900,4.9800,4.8800,4.9400,201099594,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
2025-08-13,4.9600,4.9700,4.8500,4.8600,243651951,sh.600016 | 民生银行 | baostock | adjustflag=3 raw
