time,open,high,low,close,volume,note
2022-10-26,79.0000,84.4800,78.8500,82.7000,7291145,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-10-27,82.8000,91.6900,82.6000,87.7000,12193874,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-10-28,86.3800,86.4200,83.0000,83.2100,6718747,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-10-31,82.3200,85.8500,81.8000,85.0600,6341040,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-11-01,84.9500,88.0300,84.2100,87.6400,6264562,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-11-02,86.8800,89.6300,86.4500,88.7600,5623125,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-11-03,87.3200,87.9000,86.2400,86.8900,4282446,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-11-04,86.5900,93.4900,86.5000,90.2700,9529511,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-11-07,89.1000,92.0800,88.8600,89.8300,5364295,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-11-08,90.1200,90.1200,87.2100,88.8800,4212437,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-11-09,89.1700,89.9500,88.2300,88.2800,2445700,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-11-10,87.5000,90.8800,87.1900,90.1000,4209014,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-11-11,95.0000,97.8000,93.0000,95.6300,16493999,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-11-14,95.6500,98.0000,95.0000,95.4000,8206060,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-11-15,95.1500,101.1000,94.7000,99.5200,11026397,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-11-16,98.0000,98.8500,93.7700,94.2200,7880118,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-11-17,94.5000,95.0900,93.3000,94.5000,4827606,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-11-18,94.3900,96.5200,94.2800,94.5300,4692161,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-11-21,93.5300,94.1000,91.6400,93.1200,3442958,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-11-22,93.0000,95.9800,92.9900,94.6700,4339635,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
2022-11-23,94.0100,95.6500,93.0100,93.6500,2795860,sz.300033 | 同花顺 | baostock | adjustflag=3 raw
