time,open,high,low,close,volume,note
2022-10-25,78.0000,80.0000,74.8700,79.9800,32389906,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-10-26,80.5100,82.2800,80.1000,80.5700,36267719,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-10-27,81.1100,82.1700,80.3600,80.5000,27557473,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-10-28,79.2600,79.2900,76.3800,76.6400,29586860,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-10-31,77.0000,80.9900,76.7900,79.0200,35984612,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-11-01,79.0400,85.7600,79.0400,85.7600,57622589,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-11-02,84.9100,86.7500,84.5500,86.1200,38015653,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-11-03,84.4000,86.5000,83.8900,84.7000,33198547,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-11-04,85.4800,91.0000,84.2000,89.8600,63658433,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-11-07,90.6800,91.6700,88.6000,89.3700,43954203,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-11-08,89.6000,90.5500,87.8700,90.3300,30600957,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-11-09,91.7900,92.4300,89.1100,89.1900,27761290,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-11-10,87.1100,87.9300,84.6300,85.6500,36086958,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-11-11,88.7100,89.7000,86.9000,88.0000,38376294,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-11-14,88.0200,88.8800,83.9900,84.7600,40506310,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-11-15,83.2500,85.9800,83.1600,85.7900,29440600,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-11-16,85.0000,85.2800,83.2400,83.5200,26234919,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-11-17,83.0000,84.1900,81.3800,82.8000,26257765,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-11-18,82.0200,82.7900,80.2900,80.2900,28777723,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-11-21,80.0000,82.3100,79.2500,81.8000,20182804,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-11-22,82.3000,82.5200,79.8800,80.2000,17642271,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-11-23,79.7000,81.1100,79.1600,80.4500,19566591,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-11-24,81.2300,81.8500,79.8000,80.4300,19562359,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-11-25,79.7600,79.7900,78.2400,78.2800,20066892,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-11-28,76.1100,77.1800,75.5000,77.0700,19720979,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
2022-11-29,77.0700,78.6300,76.5500,78.0600,18744197,sz.002460 | 赣锋锂业 | baostock | adjustflag=3 raw
