time,open,high,low,close,volume,note
2020-11-09,106.5000,116.2700,106.5000,116.2700,26408346,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-11-10,113.2000,116.3400,109.1700,109.9800,30695823,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-11-11,108.0000,108.9000,102.3600,103.6900,20996236,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-11-12,104.7000,104.9900,102.0000,103.0200,13443788,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-11-13,100.0100,100.1600,92.7200,95.3800,41050789,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-11-16,92.1000,102.5400,92.0500,99.2400,28682716,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-11-17,97.1000,99.9600,95.3100,98.2500,13440656,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-11-18,97.7600,98.9800,95.9200,97.7000,9683452,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-11-19,96.5000,101.3500,96.1000,99.6500,11611288,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-11-20,99.8900,107.4700,99.7800,104.7200,18934586,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-11-23,103.7300,105.6000,101.8000,103.9500,10070135,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-11-24,103.2900,105.6000,102.6000,104.0500,7907501,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-11-25,103.8000,105.1300,100.0800,100.9200,10881181,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-11-26,100.1000,104.2700,100.1000,101.5000,6942319,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-11-27,100.8500,102.3600,99.2000,100.6900,6021914,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-11-30,100.1600,102.2000,98.2000,100.4500,8356268,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-12-01,100.0100,102.1200,98.6800,102.0000,9998652,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-12-02,102.8000,108.9500,102.3100,108.0000,21191873,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-12-03,108.0000,110.4000,106.8100,107.2000,12829351,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-12-04,107.6100,109.2900,106.2200,108.4700,9450137,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-12-07,111.3000,113.0000,108.5100,110.8000,11404510,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-12-08,110.0000,111.6600,106.6000,111.3000,12190616,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-12-09,110.0000,116.9000,109.8000,112.5900,16815356,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-12-10,111.2700,113.5000,108.2700,113.0800,12816273,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-12-11,112.3000,113.0000,108.5700,109.2400,15372265,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-12-14,109.5000,113.0000,108.5000,112.9700,12181155,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-12-15,112.2000,115.8600,111.4000,114.9000,10945377,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-12-16,114.4000,114.4600,111.2000,114.0200,9190455,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-12-17,115.0200,117.9500,112.8000,113.0000,11416185,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-12-18,114.8000,115.8800,112.6000,115.0000,9713093,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-12-21,114.9800,124.3400,114.5000,120.7300,16474025,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
2020-12-22,120.6000,123.2400,118.5300,118.9800,12781007,sz.002049 | 紫光国微 | baostock | adjustflag=3 raw
