time,open,high,low,close,volume,note
2025-02-07,6.2500,6.6900,6.2300,6.5400,124797713,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-02-10,6.5500,6.5500,6.3900,6.4400,79740443,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-02-11,6.4500,6.4600,6.2700,6.3000,64690481,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-02-12,6.3300,6.3800,6.1900,6.3400,61745699,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-02-13,6.3400,6.3700,6.2700,6.2800,47880292,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-02-14,6.2800,6.4800,6.2800,6.3500,64419040,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-02-17,6.3800,6.4800,6.3100,6.4400,72025312,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-02-18,6.4700,6.5000,6.2800,6.3100,70329481,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-02-19,6.2800,6.4100,6.2300,6.3700,66807752,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-02-20,6.3500,6.3500,6.2500,6.2800,52953669,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-02-21,6.2900,6.3400,6.2200,6.2900,84361997,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-02-24,6.3100,6.4100,6.2400,6.4000,83062658,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-02-25,6.3500,6.6100,6.2800,6.5300,106651061,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-02-26,6.6200,7.2800,6.6200,7.1100,184600964,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-02-27,7.0800,7.0800,6.8900,7.0700,123418506,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-02-28,7.0000,7.1400,6.8700,6.9000,97690991,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-03-03,6.9100,7.0700,6.8000,6.8400,86908177,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-03-04,6.8000,6.8100,6.6500,6.6800,83109678,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-03-05,6.7300,6.7700,6.5600,6.6200,61464212,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-03-06,6.6500,6.8900,6.5500,6.8200,97961546,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-03-07,6.7700,6.8100,6.6500,6.6700,68511450,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-03-10,6.6700,6.7900,6.6600,6.7400,55140963,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-03-11,6.6700,6.8100,6.6000,6.8100,54982814,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-03-12,6.8100,6.8500,6.7100,6.7200,43750796,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-03-13,6.7100,6.7500,6.6200,6.7000,50107406,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-03-14,6.7100,6.8800,6.6800,6.8500,70723189,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-03-17,6.9100,7.0800,6.9100,6.9200,73414891,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-03-18,7.0200,7.1300,6.9400,7.0600,68576122,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-03-19,7.0200,7.1100,6.9600,6.9900,48390474,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-03-20,7.0100,7.0700,6.8900,6.9200,50567086,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-03-21,6.8800,7.0000,6.8600,6.9400,49981444,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-03-24,6.9500,6.9500,6.7800,6.8700,48997785,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-03-25,6.8800,7.0000,6.8100,6.9400,45072086,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-03-26,6.9200,7.0900,6.9100,7.0200,53444595,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-03-27,6.9700,6.9900,6.8500,6.8700,41271601,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-03-28,6.8700,6.9500,6.8000,6.8400,31939673,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-03-31,6.8200,6.8300,6.4700,6.4800,58037723,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-04-01,6.4800,6.6700,6.4800,6.6300,46594556,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-04-02,6.6300,6.6500,6.5000,6.5200,38053188,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-04-03,6.4400,6.4900,6.3500,6.3600,41090082,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-04-07,6.0000,6.0000,5.1300,5.4500,114338204,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-04-08,5.5000,5.6800,5.5000,5.6700,84849988,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-04-09,5.5300,5.7800,5.4000,5.7800,67521702,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-04-10,6.0600,6.0700,5.8800,5.9600,58232190,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-04-11,5.9600,5.9700,5.8700,5.9300,37488335,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-04-14,5.9700,6.0400,5.9100,5.9200,45055379,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-04-15,5.9600,5.9700,5.8900,5.9500,32396865,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-04-16,5.9300,5.9700,5.8000,5.9700,41344496,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-04-17,5.9000,5.9200,5.8400,5.9000,35182281,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-04-18,5.8800,5.9100,5.8200,5.8800,20772775,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-04-21,5.8800,5.9100,5.8300,5.8500,21109035,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-04-22,5.8400,5.8600,5.6700,5.6800,48609888,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-04-23,5.7300,5.9000,5.7000,5.8400,47378858,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-04-24,5.8100,5.8800,5.7700,5.7700,25234172,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-04-25,5.7500,5.8400,5.7400,5.7700,29377427,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-04-28,5.7600,5.7700,5.6400,5.6800,31580490,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-04-29,5.6600,5.7300,5.6300,5.6300,23935160,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-04-30,5.4200,5.6200,5.4200,5.4800,40084330,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-05-06,5.5100,5.5600,5.4000,5.5400,45687734,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-05-07,5.7400,5.7500,5.5800,5.6200,49360687,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-05-08,5.5800,5.7600,5.5700,5.7300,42455378,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-05-09,5.7400,5.7400,5.5800,5.5800,32813672,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-05-12,5.6500,5.7800,5.6300,5.7600,42033312,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-05-13,5.8200,6.1000,5.8000,5.8200,82032764,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-05-14,5.8000,5.8200,5.6700,5.7600,43624487,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-05-15,5.7600,5.7600,5.6100,5.6200,31445256,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-05-16,5.6200,5.6600,5.6000,5.6100,22557795,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-05-19,5.6000,5.6100,5.5200,5.5800,25655144,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-05-20,5.5700,5.5900,5.5300,5.5400,29840369,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-05-21,5.5400,5.5700,5.4600,5.4600,36952559,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-05-22,5.4500,5.4700,5.3600,5.3700,32116446,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-05-23,5.3700,5.4300,5.3100,5.3100,29345800,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-05-26,5.3300,5.3500,5.2300,5.2400,35437271,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-05-27,5.2500,5.2500,5.1500,5.2000,33321737,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-05-28,5.2100,5.2400,5.1600,5.1700,19680875,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-05-29,5.1900,5.2800,5.1700,5.2600,27300683,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-05-30,5.2600,5.2700,5.1900,5.2000,27644748,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-06-03,5.1500,5.1700,5.0900,5.1100,43552950,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-06-04,5.1300,5.1600,5.0900,5.1600,32248213,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-06-05,5.1800,5.1800,5.1100,5.1500,28916293,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-06-06,5.1600,5.2300,5.1200,5.1700,41613239,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-06-09,5.1700,5.2900,5.1500,5.2300,55595168,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-06-10,5.2200,5.2500,5.1200,5.1200,47688293,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-06-11,5.1300,5.2400,5.1300,5.2200,45684741,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-06-12,5.2000,5.2200,5.1300,5.1500,40399600,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-06-13,5.1600,5.1600,5.0100,5.0600,68796995,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-06-16,5.0300,5.0900,4.9900,5.0100,48641363,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-06-17,5.0200,5.0700,4.9500,5.0300,43016106,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-06-18,5.0100,5.0900,4.9900,5.0000,43652631,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-06-19,5.0200,5.0600,4.9000,4.9000,45187430,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
2025-06-20,4.9300,5.0800,4.8900,4.9500,83359693,sh.688223 | 晶科能源 | baostock | adjustflag=3 raw
