time,open,high,low,close,volume,note
2022-09-20,179.5100,185.1800,175.0100,181.9200,6019881,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-09-21,181.3000,181.8500,178.0200,179.0000,4829358,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-09-22,178.2700,179.7100,175.5000,176.6300,3075964,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-09-23,179.0000,180.8800,175.2000,178.6600,3929324,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-09-26,178.6000,189.7500,176.5000,186.3100,7424339,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-09-27,186.7400,188.5000,184.0200,187.0100,4534456,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-09-28,186.1400,187.4500,178.2000,179.1400,4774731,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-09-29,182.3000,185.5000,179.1800,183.4500,4316993,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-09-30,182.0900,183.4000,173.9800,174.1200,6970033,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-10-10,170.1200,172.5000,166.5000,167.4400,5478282,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-10-11,169.4800,177.5000,166.8000,174.2100,5730687,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-10-12,173.2500,176.5800,167.3000,176.5800,5217036,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-10-13,175.8000,180.1300,174.3200,176.5000,4881834,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-10-14,179.5000,179.5000,171.0600,175.7600,6486867,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-10-17,174.8000,174.8000,168.1300,172.6000,7484813,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-10-18,174.2400,177.2400,171.4800,173.9000,5056957,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-10-19,173.9000,178.7100,172.0000,172.7000,5357072,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
2022-10-20,170.9000,171.6800,161.6600,163.6500,11869036,sz.002812 | 恩捷股份 | baostock | adjustflag=3 raw
