time,open,high,low,close,volume,note
2023-09-15,252.0900,255.6000,247.8000,249.1500,6379015,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-09-18,247.0000,250.1200,245.0000,245.4800,4656765,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-09-19,245.4800,246.1800,231.5500,239.9000,8685999,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-09-20,238.7600,240.9300,233.5800,233.9800,6621524,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-09-21,233.0000,235.3000,231.8000,232.4100,4590113,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-09-22,232.0000,235.0000,230.3700,234.5000,6877226,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-09-25,234.0000,236.9200,231.6600,235.0000,6474810,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-09-26,233.5000,236.1800,232.6000,232.6100,4261055,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-09-27,232.6000,236.6000,231.1300,232.9500,4819955,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-09-28,233.0000,247.8900,230.7000,241.3000,11431417,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-10-09,239.2300,247.5300,238.5600,246.2500,7113612,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-10-10,245.0000,250.8900,244.2700,247.8500,6312836,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-10-11,247.8500,248.4900,241.8100,244.2900,5802556,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-10-12,245.7000,255.1100,245.1200,253.4800,8421781,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-10-13,249.8800,249.9300,241.5400,248.7000,7690330,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-10-16,248.2000,248.5000,242.0800,243.1000,4333927,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-10-17,244.6600,249.3500,241.5000,246.6700,4814087,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-10-18,247.8800,253.5800,243.8100,244.2300,7408729,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-10-19,242.6200,249.8000,242.2000,243.1300,4705119,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-10-20,240.0700,244.6800,238.5000,239.7400,3919664,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-10-23,239.7300,240.5000,233.0000,234.6000,3574623,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-10-24,235.2000,252.5000,235.0100,249.5000,9457806,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-10-25,251.0100,251.6000,245.3000,248.0100,5575685,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-10-26,245.8100,250.0000,243.5000,249.3300,5308734,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-10-27,246.8000,254.0000,245.5100,251.7900,6097672,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-10-30,250.0000,260.2800,249.1000,257.8000,8063606,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-10-31,262.0000,264.6600,252.8500,256.0000,7050623,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-11-01,255.5500,255.6100,250.0200,252.4500,5137254,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-11-02,252.0000,253.9700,249.1700,250.2000,3590473,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-11-03,250.5600,258.0000,249.7200,257.0400,6201687,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-11-06,259.0300,259.5000,254.5800,258.7400,6446154,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-11-07,258.0000,260.3900,254.8000,256.3500,5455184,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-11-08,255.1200,265.5000,254.5400,259.9700,8133625,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-11-09,258.1600,261.2500,256.3600,257.0500,4424306,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-11-10,258.1000,259.5900,255.0000,256.0100,4080692,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-11-13,256.6900,258.9800,255.6400,257.1300,3423343,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-11-14,255.8100,258.7400,255.0700,257.0300,3013354,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-11-15,258.3000,258.9500,253.0300,253.8000,4405717,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-11-16,252.8800,253.8000,246.2000,248.0000,5014375,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-11-17,247.0100,250.7900,246.1100,247.0000,3544086,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-11-20,247.0100,247.5700,242.1200,242.3100,5546015,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-11-21,242.3600,244.2600,240.2000,240.5400,4346665,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-11-22,239.0100,240.2500,235.4400,235.6000,4634604,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-11-23,235.0000,238.6800,233.3600,238.6000,3930777,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
2023-11-24,237.9800,238.7000,235.2000,235.7500,3358357,sz.002371 | 北方华创 | baostock | adjustflag=3 raw
