time,open,high,low,close,volume,note
2020-04-23,139.9500,140.7800,129.0000,130.3200,1469055,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-04-24,132.5000,136.8000,129.0200,129.0300,1267500,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-04-27,128.0000,129.5800,123.7800,128.5000,1014000,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-04-28,128.0600,130.3900,122.3100,130.0000,774335,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-04-29,130.9900,137.2000,126.3800,136.7800,911407,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-04-30,139.9800,150.4600,139.9600,150.4600,1634978,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-05-06,150.4000,158.2500,148.1000,157.2200,1218341,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-05-07,158.7600,162.6600,156.0000,158.5800,951436,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-05-08,161.0000,163.3500,158.0000,161.8000,679737,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-05-11,163.4400,166.6600,150.0500,152.5000,1732172,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-05-12,155.8600,156.0500,148.2000,151.5000,1409007,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-05-13,149.9000,154.9900,148.5100,150.3000,962645,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-05-14,149.3900,150.9900,147.5000,149.0500,599800,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-05-15,150.0000,163.9600,149.3800,163.9600,2136304,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-05-18,165.1000,172.8800,161.1100,165.2600,1817846,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-05-19,165.0000,172.5700,162.0000,167.7000,1542099,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-05-20,174.0200,180.9800,162.2600,164.1100,1966912,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-05-21,164.1900,166.7000,155.8800,155.8800,1126446,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-05-22,155.7900,157.4300,144.0000,149.1500,1347300,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-05-25,147.3200,157.2800,147.0100,156.4600,1066400,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-05-26,88.0000,92.2100,85.4000,91.1700,1940322,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-05-27,91.3200,94.1700,90.0000,91.2800,1726019,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-05-28,91.0000,91.0000,85.0000,86.1000,1580982,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-05-29,86.9900,90.4300,86.0000,86.4200,1459373,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-06-01,87.0000,94.2900,86.0000,92.1800,2101535,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-06-02,94.0000,94.5100,89.8900,91.1800,1718719,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-06-03,93.2500,93.2500,88.8800,90.2000,1588909,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-06-04,90.3200,93.3000,90.2100,91.9500,1506591,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-06-05,90.3500,92.9700,89.5000,91.0600,1017176,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-06-08,91.2000,92.4900,88.0600,88.7400,1150800,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-06-09,88.7400,90.4900,87.1200,89.7100,1066020,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-06-10,91.4500,92.8800,89.6800,90.7100,1395078,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-06-11,92.0000,95.0800,91.0100,93.8700,2827815,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-06-12,91.0900,92.9700,88.8800,92.1500,2047753,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-06-15,89.1800,92.1500,87.8400,90.6800,1890656,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-06-16,91.5100,96.5000,91.5100,95.5000,2887025,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-06-17,95.5900,95.8200,90.3000,93.0200,2716726,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-06-18,93.0200,93.6000,90.0200,91.6800,1509333,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-06-19,91.0000,100.3900,90.8100,98.5000,3701724,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-06-22,100.0100,102.9300,98.0000,99.5000,2746357,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-06-23,101.0100,102.4900,99.0000,100.2000,1811105,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-06-24,101.4000,101.5000,98.0000,99.5700,1979092,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-06-29,98.1800,99.5000,96.3800,97.1200,1331087,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-06-30,97.9900,99.6000,96.3000,97.3800,1832373,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-07-01,99.0600,101.0100,95.5900,96.4900,2345127,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-07-02,97.5000,97.7500,94.8400,95.6600,1864170,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
2020-07-03,96.8300,101.2100,95.0300,99.8700,2726803,sz.300769 | 德方纳米 | baostock | adjustflag=3 raw
