time,open,high,low,close,volume,note
2020-05-26,14.2800,14.4600,14.2400,14.4300,15737917,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-05-27,14.3800,14.5000,14.1400,14.1700,16637933,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-05-28,14.2000,14.4400,14.1000,14.4100,18930817,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-05-29,14.3300,14.4700,14.2000,14.2000,15444903,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-06-01,14.3000,14.8400,14.3000,14.7300,28196987,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-06-02,14.7300,15.1700,14.6700,15.0100,36664641,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-06-03,15.1100,15.1800,14.8100,14.8300,31470056,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-06-04,14.8500,14.9300,14.5700,14.5800,20031462,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-06-05,14.6100,14.8200,14.5300,14.7900,18376159,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-06-08,14.8600,15.0100,14.6400,14.6700,20254763,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-06-09,14.6700,14.7300,14.5700,14.6900,14512544,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-06-10,14.6000,14.6500,14.3000,14.3800,19877856,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-06-11,14.3900,14.5800,14.2900,14.3200,16772851,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-06-12,14.0100,14.2800,13.9600,14.2100,20018123,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-06-15,14.1500,14.1800,13.9000,13.9000,26516084,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-06-16,14.0200,14.2200,14.0200,14.1400,15808131,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-06-17,14.1700,14.2400,14.0400,14.2200,16555894,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-06-18,14.1000,14.3400,14.1000,14.3300,18781579,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-06-19,14.3000,14.4000,14.1800,14.3800,18439704,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-06-22,14.3700,14.9700,14.3600,14.9300,50886877,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-06-23,14.8000,14.8500,14.6300,14.7800,27737028,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-06-24,14.7900,14.9100,14.6000,14.7900,26731427,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-06-29,14.6500,14.7800,14.3700,14.4400,20790386,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-06-30,14.5300,14.7400,14.5200,14.6800,20198835,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-07-01,14.7500,15.0700,14.6300,14.9200,40961695,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-07-02,14.9500,15.3400,14.8100,15.2100,53954088,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-07-03,15.2200,15.3600,15.0200,15.2900,44719339,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-07-06,15.5200,16.4000,15.4200,16.2600,75911815,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-07-07,16.3200,16.9500,16.0700,16.0800,87955474,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-07-08,16.0700,16.6300,15.8500,16.5000,61416334,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-07-09,16.3100,17.4700,16.2900,17.3800,90410880,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-07-10,17.0300,17.4500,16.8000,17.0400,74050626,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-07-27,16.6100,18.0000,15.5200,17.1600,111826259,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-07-28,16.9300,17.2800,16.1800,16.2900,66486524,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-07-29,16.4000,17.9200,16.2800,17.9200,42295181,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-07-30,19.4400,19.7100,19.1100,19.7100,189464706,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-07-31,19.6900,20.5500,19.3200,20.1600,173292923,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-08-03,20.0000,20.5000,19.6800,20.0200,138858662,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-08-04,19.8000,19.9800,18.1300,18.4700,152759386,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-08-05,19.1300,19.9500,18.6700,19.4100,135288018,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-08-06,18.9300,19.6400,18.7000,19.0000,83136638,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-08-07,18.8000,18.9600,17.8300,18.1900,84202669,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-08-10,18.1400,19.0700,17.9300,18.5000,69600698,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-08-11,18.3600,18.8600,17.9500,18.0000,52566056,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-08-12,18.1500,18.9100,17.9100,18.8600,73856324,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-08-13,18.6000,18.9200,18.3100,18.4500,46892647,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-08-14,18.3000,18.5900,17.9000,18.3000,39460854,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-08-17,18.8000,19.3500,18.3800,18.8900,63266461,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-08-18,18.7700,19.2000,18.5300,18.6500,51662368,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-08-19,18.4700,18.4800,17.5500,17.5700,58366965,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
2020-08-20,17.3500,17.7600,17.2600,17.4300,26080818,sh.600460 | 士兰微 | baostock | adjustflag=3 raw
