time,open,high,low,close,volume,note
2021-09-28,376.4500,388.6000,374.0000,380.0000,5068113,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-09-29,375.0100,380.7700,367.5000,374.5000,3672507,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-09-30,374.0900,386.7800,370.4800,385.4200,4865019,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-10-08,388.7000,388.8800,368.6800,376.3500,5823890,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-10-11,375.0000,386.8700,361.3100,365.8800,5682624,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-10-12,370.0000,385.9000,360.0000,376.8900,6676905,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-10-13,379.6700,399.8800,375.0000,395.0200,4885191,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-10-14,400.4000,400.4000,383.3300,388.0000,3332334,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-10-15,380.0100,388.7100,376.0100,378.0300,5140893,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-10-18,378.7200,378.8800,365.2000,370.0000,4987547,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-10-19,370.9900,378.0000,368.0000,375.3000,3377275,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-10-20,374.9900,375.0400,340.2100,356.9500,11258205,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-10-21,360.0000,371.8000,358.0800,364.0500,4919187,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-10-22,365.6600,373.4800,360.0100,362.9900,3763086,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-10-25,365.8800,369.9200,361.1000,367.8600,3428281,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-10-26,372.2000,373.4800,367.0300,368.0000,2876580,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-10-27,366.0000,367.9000,357.1400,359.9800,3399306,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-10-28,360.0000,374.0000,357.3200,362.7400,4719429,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-10-29,364.4300,380.6500,361.1900,376.0900,5974465,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-11-01,377.6600,377.6800,364.2000,372.7100,4340220,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-11-02,372.7200,382.0000,370.0000,375.7400,4431700,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-11-03,378.5000,388.7300,373.1200,380.7200,5190431,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-11-04,379.5000,390.5000,375.0000,388.0000,5034853,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-11-05,385.2000,402.1800,383.6900,398.8900,5978103,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-11-08,398.0000,398.7700,371.0000,374.7000,7156175,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-11-09,377.7000,378.3000,368.9000,370.3000,4377657,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-11-10,372.9700,374.4900,361.0100,366.9800,3865322,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-11-11,368.0000,376.9800,365.0000,371.2400,3150196,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-11-12,371.8300,373.9700,364.5700,367.2100,3326452,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-11-15,366.8900,372.3200,365.3000,366.9300,2488667,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-11-16,367.0300,382.8000,367.0300,381.1000,5138725,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-11-17,378.8000,388.0000,376.5500,385.5100,3354333,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-11-18,383.6700,383.6700,373.1800,375.4800,2764142,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-11-19,371.0000,379.6900,371.0000,378.1000,1869631,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-11-22,377.1300,377.1300,365.1000,367.9800,4286016,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-11-23,367.1000,368.6800,360.0000,361.0000,3642086,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-11-24,359.7100,362.0000,351.1900,360.7900,3240323,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-11-25,361.3500,364.4900,357.0000,363.0000,2624508,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-11-26,363.1900,364.9900,359.0000,361.0500,2059018,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-11-29,365.1000,372.6500,354.0200,362.0800,4297919,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-11-30,365.5900,365.5900,354.5000,358.4300,3346880,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-12-01,357.0000,359.9900,354.5600,358.5300,2384615,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-12-02,358.5300,359.8800,345.0000,345.4000,4072694,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-12-03,345.8900,354.5400,345.8900,353.0000,3341938,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-12-06,350.0000,354.1400,346.8000,347.3700,2858940,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-12-07,348.0000,351.8000,346.8100,349.1100,3598685,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-12-08,349.1100,355.5900,342.5000,354.9000,3904531,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-12-09,356.0000,372.2100,354.9100,371.0000,7109405,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-12-10,368.9900,381.7600,367.3600,370.5900,10665797,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-12-13,374.3000,382.2200,367.0700,367.1400,5245193,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-12-14,371.0100,375.8200,369.1000,371.3000,3320529,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-12-15,370.3300,374.9700,358.0000,359.0000,4133246,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-12-16,359.0000,365.9800,357.9200,360.2500,2896630,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-12-17,362.0000,362.9900,356.0000,356.1600,2724636,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
2021-12-20,354.5000,365.8800,354.3500,359.0000,4137866,sz.300760 | 迈瑞医疗 | baostock | adjustflag=3 raw
