time,open,high,low,close,volume,note
2024-01-05,266.5100,277.3000,266.5100,272.9700,819427,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-01-08,269.9900,274.5000,261.8000,262.2600,842032,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-01-09,261.4900,268.7700,261.4900,265.8100,836315,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-01-10,263.1000,273.8700,263.0600,272.0700,842653,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-01-11,271.2500,283.2300,269.9600,282.4600,1054660,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-01-12,280.0000,289.2000,279.0200,287.2700,1000405,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-01-15,283.0200,292.9200,282.0000,290.1500,897959,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-01-16,290.0000,303.5900,286.0000,299.7900,1583605,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-01-17,300.0000,302.5000,294.0000,294.7800,1135764,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-01-18,292.5000,295.2100,286.5300,294.0000,1064316,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-01-19,293.1200,303.5000,292.9900,299.4200,1104828,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-01-22,297.4000,297.8800,282.9000,286.3400,1065218,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-01-23,286.0000,289.4100,275.2500,283.6800,1244476,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-01-24,300.0900,300.4900,283.0000,288.0000,2017780,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-01-25,288.0000,292.1000,283.5700,288.0200,1464622,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-01-26,288.9900,302.6700,287.0000,300.1000,1577484,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-01-29,303.0900,303.1000,281.5100,289.6100,1849991,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-01-30,289.0000,301.0000,288.7400,292.5100,1659020,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-01-31,289.5000,295.8700,285.3100,287.1200,1439989,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-02-01,286.2600,299.8800,284.2200,293.5200,1372401,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-02-02,298.8100,303.4800,289.2000,296.3200,1549059,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-02-05,297.2100,303.1800,288.0000,299.8300,2166794,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-02-06,299.8300,319.7700,291.1100,311.3000,2591037,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-02-07,312.2500,340.0800,308.8100,339.0000,3125934,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-02-08,339.0100,355.0000,320.3300,324.9100,2859749,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-02-19,326.0000,330.0000,316.4100,325.5400,2192280,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-02-20,324.2000,333.0700,315.0000,329.2900,1862309,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-02-21,329.1900,329.1900,320.1100,322.3000,1521568,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-02-22,321.0000,322.5000,316.1400,319.1500,1417135,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-02-23,321.0000,322.4600,307.7000,316.6800,1757481,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-02-26,319.2800,329.9900,317.0100,327.3000,1697771,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-02-27,327.0000,327.4500,318.0000,326.7500,1491699,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-02-28,325.0000,326.0200,317.0500,318.7400,1394149,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-02-29,316.3300,328.0000,316.0000,325.7700,1476353,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-03-01,326.4400,329.0000,321.2300,324.0000,1686356,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-03-04,324.4600,334.9800,321.6000,332.1100,1369191,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-03-05,331.9900,343.0800,328.5500,341.7000,1659215,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-03-06,341.7000,347.4500,337.9800,344.2800,1101883,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-03-07,343.4800,347.7100,328.7300,330.0000,1374371,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-03-08,331.9700,334.9900,327.0000,330.7000,1109671,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-03-11,330.0000,338.8000,328.3000,338.4600,979810,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-03-12,336.5000,346.4800,336.0300,344.8000,1158758,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-03-13,343.1700,353.6000,331.7300,333.1800,1625649,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-03-14,330.0300,336.0000,327.3200,330.0000,1061612,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-03-15,339.8200,339.8200,322.2700,326.8600,1157680,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-03-18,327.9700,336.0000,324.5100,332.2900,1165927,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-03-19,333.2900,335.3800,323.0300,331.6000,1261369,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-03-20,333.0000,334.4900,326.2000,332.0000,1097543,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-03-21,331.6600,332.8700,318.1800,324.2800,1571250,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-03-22,323.6900,329.5900,320.0000,326.2800,1199951,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-03-25,325.9700,345.5500,325.1100,339.1600,1757029,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-03-26,338.0000,350.8800,337.5000,344.3500,1299651,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-03-27,343.2300,349.8800,339.0000,342.0100,1251935,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-03-28,341.6700,347.6900,334.3300,341.9300,1130082,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-03-29,344.4100,345.0000,335.0000,342.5700,984953,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-04-01,345.0000,349.6500,336.3300,336.9600,1568932,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-04-02,339.0000,339.0000,332.3300,335.7500,981302,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-04-03,335.7500,344.9800,335.7500,337.9400,1263588,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-04-08,338.0000,347.0000,331.1100,334.3500,1338041,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-04-09,334.0500,339.5000,330.0000,337.9900,1021611,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-04-10,337.0400,337.9900,326.6600,336.0000,1166622,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-04-11,334.9900,357.7700,331.3300,354.0000,2633862,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-04-12,354.0600,358.0600,345.2700,348.0000,1732396,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-04-15,347.0000,360.0000,345.0000,353.2000,1670344,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-04-16,354.0000,359.3800,348.3900,349.8900,1205013,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-04-17,349.9200,374.6000,347.9600,374.6000,2153675,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-04-18,371.2000,385.8500,367.1500,375.7300,1766235,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-04-19,373.2000,377.5000,367.2000,375.1600,1110388,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-04-22,374.9000,391.6300,374.9000,382.4100,1433923,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-04-23,380.2600,385.0000,370.2500,375.9900,954861,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-04-24,375.9900,385.6700,372.1200,384.6000,798904,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-04-25,385.4400,387.7000,369.2000,373.7900,1367595,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-04-26,373.7900,388.7600,373.0500,382.3000,1153601,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-04-29,382.3000,419.8800,382.3000,412.9900,2580264,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-04-30,411.0000,428.0600,409.4200,425.0200,1674503,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-05-06,436.0000,465.0000,432.0300,458.0000,2299250,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-05-07,457.0000,457.0000,439.0000,441.3000,1781108,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-05-08,442.4100,448.8000,437.0200,444.8800,1174957,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-05-09,443.7800,453.4000,438.0000,446.0000,1094587,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-05-10,444.7000,468.0000,442.0500,463.3000,1365855,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-05-13,455.3300,469.9900,451.0000,465.1000,1717973,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-05-14,464.0000,469.8500,454.0000,463.0000,1141267,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-05-15,462.0000,464.0000,443.5300,446.1000,1782792,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-05-16,444.3600,446.0000,427.3000,432.4900,2815918,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-05-17,430.8800,436.7900,418.3100,428.6000,1894325,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-05-20,424.9300,431.9900,419.3300,426.7400,1272567,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-05-21,422.3000,438.8800,422.1600,433.9100,1672733,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-05-22,433.9000,434.9100,420.0000,420.0100,1432571,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
2024-05-23,420.0400,425.8800,416.0600,424.8500,1197636,sh.688169 | 石头科技 | baostock | adjustflag=3 raw
