time,open,high,low,close,volume,note
2022-02-07,121.5000,123.0000,119.6000,120.0300,5310719,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-02-08,119.1000,119.9800,112.5500,115.1900,8418256,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-02-09,115.0000,118.4300,114.3100,117.9900,5318328,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-02-10,117.9900,120.4800,116.5100,116.6800,5443398,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-02-11,116.4600,117.9000,114.0500,114.5600,4749418,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-02-14,113.3000,113.8900,110.0000,111.3900,5371744,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-02-15,112.5200,121.9900,111.9000,121.9900,11584473,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-02-16,122.0000,125.4600,121.3000,122.9000,6868425,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-02-17,122.0000,126.4800,122.0000,124.9900,7097798,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-02-18,123.6900,127.4600,123.0100,124.4800,4989752,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-02-21,124.4900,124.6600,122.2000,122.9100,3041414,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-02-22,121.9900,125.8000,120.5700,124.5700,5198755,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-02-23,124.8100,132.3000,124.8100,129.8000,11186471,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-02-24,129.8000,131.9700,124.0500,127.0600,9610917,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-02-25,130.0000,130.7800,126.5000,127.8000,6003281,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-02-28,126.9500,129.5600,126.5000,128.0800,4236163,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-03-01,128.0000,129.1800,126.0300,128.9000,4224028,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-03-02,127.9000,127.9000,125.1000,126.9100,4469287,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-03-03,128.9800,128.9800,124.0500,124.0800,4383895,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-03-04,123.0000,129.6900,122.7500,126.0500,6613712,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-03-07,125.0100,127.6800,122.0000,123.2800,5826057,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-03-08,123.0000,128.8800,121.0000,124.5000,7381071,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-03-09,125.0000,129.3700,122.3300,128.1400,9703469,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-03-10,132.0000,133.0000,125.7000,126.1000,9692483,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-03-11,123.0200,124.3500,116.6600,120.8500,10445860,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-03-14,118.8900,120.8300,117.0800,118.8000,3529294,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-03-15,117.9900,122.2000,116.0200,116.2000,6220999,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
2022-03-16,118.5100,123.3600,114.0100,122.6800,7516153,sh.688012 | 中微公司 | baostock | adjustflag=3 raw
