time,open,high,low,close,volume,note
2024-10-18,134.0000,153.9700,133.5100,146.9500,53841939,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-10-21,147.8800,148.5200,136.8000,141.4500,51219448,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-10-22,144.0000,145.1200,138.1900,141.7500,36862654,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-10-23,134.2000,140.3300,130.8500,135.3200,37069525,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-10-24,134.0500,142.8800,133.6600,139.5200,37532418,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-10-25,146.8000,147.9800,140.0100,142.6500,43866634,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-10-28,140.0000,143.2100,134.8000,136.0600,41480206,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-10-29,134.0000,134.9800,128.8600,130.5000,40075754,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-10-30,132.0000,133.9900,127.9700,130.0000,30589510,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-10-31,127.0000,134.3500,126.0800,130.1700,32954731,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-11-01,127.9000,133.8900,127.0000,129.3600,29794386,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-11-04,129.0000,135.4900,129.0000,131.7700,24565290,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-11-05,130.7000,135.5800,129.2000,133.4600,36752419,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-11-06,134.0000,134.1600,126.0900,127.4900,42472992,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-11-07,124.9500,134.0000,123.7400,131.9000,36197473,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-11-08,134.1000,141.5200,129.7600,129.9200,49845397,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-11-11,128.2200,135.2000,126.4900,132.8700,39368941,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-11-12,133.0000,136.8800,130.5100,132.7000,37580504,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-11-13,133.2500,145.5500,131.3000,141.9800,62294295,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-11-14,139.6700,141.0900,135.4800,136.1000,35427340,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-11-15,135.5100,139.7700,127.1800,127.7200,37069143,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-11-18,125.7200,127.8400,119.2000,121.0000,33792464,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-11-19,122.4400,128.5900,121.1100,125.0000,29520799,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-11-20,125.0000,129.5500,124.2500,126.4700,26454910,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-11-21,123.9000,127.6800,121.8100,123.6500,29990455,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-11-22,122.7900,125.5000,118.0000,118.0000,29321533,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-11-25,118.0000,118.6600,111.3300,113.3800,30294286,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
2024-11-26,113.0000,117.6500,112.0000,115.4600,24916292,sz.300502 | 新易盛 | baostock | adjustflag=3 raw
