time,open,high,low,close,volume,note
2022-12-23,256.1000,256.4000,250.5000,252.1800,9081868,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-12-26,252.2000,263.5000,252.1900,262.4200,9354753,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-12-27,263.4600,263.9800,259.8000,262.1200,5553654,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-12-28,257.5000,259.2000,253.0000,254.6200,10256378,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-12-29,253.9900,258.8600,252.1300,254.7600,7225577,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2022-12-30,258.5000,260.3700,256.5100,256.9700,7488973,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-01-03,256.4100,261.9200,250.0000,260.4800,12137430,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-01-04,260.0000,260.4800,256.5000,259.1000,7267459,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-01-05,262.5200,267.5900,261.0600,265.0800,11893600,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-01-06,267.9100,271.2000,265.1000,266.2000,13885523,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-01-09,268.0000,268.0000,262.2900,263.3800,11416882,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-01-10,262.0500,269.5800,257.3100,266.5900,17351254,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-01-11,264.9000,271.0000,261.4100,268.9900,12836375,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-01-12,271.5100,284.4500,270.7000,277.3000,22347919,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-01-13,277.4100,279.9300,275.0000,278.5800,12841101,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-01-16,278.5800,278.7700,272.0000,273.8000,16499989,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-01-17,273.8100,274.5000,268.9300,269.9900,11166571,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-01-18,269.8500,272.5000,266.4900,269.0000,8610817,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-01-19,267.8800,270.8500,266.5200,270.5000,8123863,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-01-20,271.0000,271.8800,267.0200,270.0700,10464935,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-01-30,285.0000,288.0000,281.0000,281.9900,28185441,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-01-31,285.0000,288.8000,280.3900,285.8000,18711017,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-02-01,287.9800,304.3300,286.1400,304.3300,27298697,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-02-02,305.8700,306.1300,299.9600,302.6200,14802993,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-02-03,299.9500,299.9500,292.8000,295.0000,15294828,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-02-06,291.6900,291.6900,287.6100,289.9800,10044660,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-02-07,291.9900,292.4800,287.6000,289.0000,7683474,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-02-08,289.0000,289.0000,282.8000,285.6600,9290144,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-02-09,284.0000,288.8200,282.3000,288.3300,9064889,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-02-10,285.8800,285.9000,280.0000,281.8600,12970811,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-02-13,279.0100,283.2900,277.0600,282.3200,9346144,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-02-14,284.0000,284.5000,279.1000,281.9700,7364368,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-02-15,283.0000,283.9000,278.5600,279.0000,9083216,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-02-16,280.0000,281.7900,274.8500,277.0200,10334815,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-02-17,276.4900,278.1000,271.2800,271.6600,10099650,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-02-20,271.5900,273.3000,267.0000,272.8000,13070148,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-02-21,272.0000,276.5600,270.2800,274.7500,11369006,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-02-22,271.9000,272.6200,268.9000,270.4200,8508796,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-02-23,269.9000,271.6700,268.5000,270.4400,10035821,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-02-24,269.0200,269.8800,267.0000,267.5800,6686761,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-02-27,265.0000,265.8900,258.0000,259.8100,16970381,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-02-28,261.0000,262.0000,257.5700,260.8000,12033003,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-03-01,260.7500,266.5400,257.7600,265.5000,14365761,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-03-02,266.1200,268.1300,262.0000,263.7100,11490496,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-03-03,264.9900,265.2300,262.0800,263.7900,6398161,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-03-06,264.0000,264.6300,258.0000,264.2700,11212447,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-03-07,264.1800,266.9900,260.5000,260.6800,10593288,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-03-08,258.5000,259.7900,255.0000,256.9900,12089760,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-03-09,256.5000,259.8300,254.0100,256.0700,9673143,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-03-10,252.0000,253.0000,242.3000,243.1400,28346408,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-03-13,241.7200,242.9500,237.0000,240.4900,16734341,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-03-14,240.0000,242.5000,233.0300,239.9800,19856816,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-03-15,241.5000,242.4800,237.4100,238.6200,12071459,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-03-16,235.0000,239.6200,234.0000,234.7900,11837025,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-03-17,236.7800,240.9800,235.5300,237.9100,13500262,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-03-20,237.9100,239.3600,234.6000,235.5700,8632333,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-03-21,236.8900,239.5100,234.7900,239.5100,10887269,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-03-22,242.2000,247.5800,242.0800,243.2000,15533932,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-03-23,242.9900,245.5000,239.5000,245.4900,9746104,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-03-24,245.5000,247.6300,243.4900,246.0200,8101826,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-03-27,245.9900,245.9900,240.3000,243.6500,9249536,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-03-28,244.5000,245.6700,242.4000,245.0100,8184504,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-03-29,246.5500,250.2500,246.5500,247.7000,14430262,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-03-30,250.0000,257.2000,250.0000,257.2000,20926722,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-03-31,258.9700,260.8600,255.0000,256.0200,16700761,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-04-03,256.0000,258.2400,252.2600,255.9200,13369125,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-04-04,255.8100,255.8100,247.9900,250.9200,13774433,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-04-06,248.0000,250.8800,245.6800,250.0000,8194227,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-04-07,250.0500,252.1300,248.3300,249.2800,6872291,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-04-10,249.2800,251.2000,246.0000,251.0000,9805791,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-04-11,252.1500,254.4900,248.6000,249.8300,8745512,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-04-12,248.8000,248.8000,243.3300,243.4000,11232970,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-04-13,240.5800,243.0000,237.7700,242.8200,8096464,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-04-14,243.4000,247.4700,242.9900,246.0600,10550644,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-04-17,245.0000,249.6800,244.2100,249.4400,9039385,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-04-18,250.4000,252.1800,248.4400,249.0000,7843220,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-04-19,249.0000,253.2000,246.0900,250.8500,11192747,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-04-20,249.9300,249.9300,245.0000,245.0200,10030830,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-04-21,244.5000,248.9500,243.0000,243.0000,10405248,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-04-24,244.1000,258.6000,243.1800,253.4900,26701734,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-04-25,251.0000,251.8000,242.2000,244.3000,18741873,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-04-26,243.0000,254.5400,241.0000,251.0000,17449204,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-04-27,250.0000,258.9900,249.5500,258.9200,24246438,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-04-28,261.4700,262.9700,254.0000,255.8600,19194480,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-05-04,255.0000,257.6100,251.4000,252.5200,11812427,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-05-05,252.5500,253.8000,247.9500,250.0700,10243959,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-05-08,253.0000,259.1000,252.5200,254.0300,12162620,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
2023-05-09,250.0400,253.3600,249.0000,250.1100,8988483,sz.002594 | 比亚迪 | baostock | adjustflag=3 raw
