time,open,high,low,close,volume,note
2018-09-10,101.6600,101.6600,92.9200,94.1600,8989871,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-09-11,94.9800,95.5000,90.8800,92.7800,6281407,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-09-12,92.7700,94.9900,91.5000,93.3000,4083164,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-09-13,94.8000,95.1500,85.4800,89.9100,8022352,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-09-14,90.9000,91.1000,87.0000,87.8100,4596692,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-09-17,87.0700,87.8700,84.8000,84.9500,4267130,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-09-18,84.4700,87.3100,84.4000,87.2000,4327206,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-09-19,86.8800,92.8500,85.4400,90.3600,7443958,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-09-20,89.9900,91.0000,88.6100,88.9600,3616325,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-09-21,89.4900,89.5800,84.5000,88.7000,6988960,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-09-25,87.5100,91.1700,86.8700,89.5000,4838222,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-09-26,89.0500,92.5000,88.5800,90.8700,4860055,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-09-27,90.6100,91.7800,88.1500,88.5000,3906540,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-09-28,88.7700,89.3200,86.5000,88.7300,3735095,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-10-08,85.0000,85.0000,79.8600,79.8600,5065259,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-10-09,77.1100,78.7500,72.3900,74.4500,9168072,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-10-10,74.0500,77.6500,73.0000,75.2300,5737914,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-10-11,70.0000,73.3000,67.7800,69.0000,7226835,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-10-12,69.1400,72.6000,67.1200,71.6500,6660213,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-10-15,71.2000,74.3000,71.1400,72.0700,4790131,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-10-16,71.9500,73.9000,68.3200,69.3000,4740226,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-10-17,72.0000,72.5000,68.5100,71.4800,6021801,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-10-18,71.4700,71.5000,68.1400,69.2400,3787729,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-10-19,67.2600,71.3000,65.4900,70.6000,7816424,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-10-22,71.3000,77.1800,70.8500,76.0400,7859712,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-10-23,75.2000,75.4400,70.5800,71.3900,6351938,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
2018-10-24,71.7500,72.3900,68.4000,68.9400,6051851,sh.603986 | 兆易创新 | baostock | adjustflag=3 raw
