time,open,high,low,close,volume,note
2020-11-17,34.1900,34.1900,32.0500,33.5900,30374453,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-11-18,33.3000,33.8900,32.8200,33.0100,19052738,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-11-19,32.8000,34.1100,32.5000,33.3800,20116835,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-11-20,33.3300,33.8000,33.0300,33.1200,15502132,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-11-23,33.2300,33.8500,32.8000,33.5000,17025020,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-11-24,33.7500,35.1800,33.6100,34.5800,29783313,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-11-25,34.6900,35.1700,34.1200,34.2300,20795516,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-11-26,34.4300,35.1800,34.1900,34.4700,18262040,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-11-27,34.4700,34.8800,33.8500,34.2800,16733592,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-11-30,34.8800,35.6600,34.5200,35.1000,28863038,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-12-01,35.0000,35.3500,34.4600,35.2000,20652503,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-12-02,35.4500,36.9800,35.4500,36.4300,35823359,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-12-03,36.4700,37.1000,36.0300,36.0700,24220710,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-12-04,35.5500,36.1800,34.8800,35.7100,23104361,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-12-07,36.8800,37.2900,35.9000,35.9000,25580345,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-12-08,35.9400,36.2400,35.3200,36.1200,14542850,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-12-09,36.1000,36.1200,35.0000,35.0500,17340932,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-12-10,34.8500,36.3900,34.7500,35.9500,22901354,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-12-11,35.8200,37.0700,35.5800,36.0100,29981624,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-12-14,36.0000,36.6100,35.3700,36.3500,16769314,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-12-15,36.2300,36.6900,34.9100,35.0900,21082426,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-12-16,34.9100,34.9100,33.0000,33.0800,25343370,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-12-17,33.1100,33.7900,32.3200,33.4500,15726348,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
2020-12-18,34.5300,34.6800,32.8600,33.0200,16149342,sh.688126 | 沪硅产业 | baostock | adjustflag=3 raw
