time,open,high,low,close,volume,note
2023-02-14,4.1900,4.2400,4.1600,4.2000,112961334,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-02-15,4.3200,4.5900,4.3200,4.4800,767985581,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-02-16,4.6300,4.6500,4.3900,4.4300,676118103,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-02-17,4.4700,4.4800,4.3000,4.3000,359120523,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-02-20,4.2900,4.5200,4.2800,4.4600,380220282,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-02-21,4.4400,4.5200,4.4300,4.4900,226694928,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-02-22,4.4500,4.6000,4.4300,4.5300,230597373,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-02-23,4.5200,4.5800,4.4400,4.5100,239249477,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-02-24,4.4800,4.5200,4.4100,4.4500,135044010,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-02-27,4.4100,4.4800,4.4000,4.4200,133836764,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-02-28,4.4200,4.4700,4.3700,4.4400,163195058,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-03-01,4.4400,4.5200,4.4200,4.4800,191255844,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-03-02,4.4700,4.5000,4.4400,4.4600,103046274,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-03-03,4.4700,4.4900,4.3900,4.4600,128101681,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-03-06,4.4600,4.5000,4.3800,4.4000,156513470,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-03-07,4.4900,4.6400,4.3500,4.3600,416205167,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-03-08,4.3600,4.3900,4.3000,4.3800,148355667,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-03-09,4.3700,4.4100,4.3400,4.3500,98533174,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-03-10,4.3100,4.3300,4.2700,4.2800,150281738,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-03-13,4.2500,4.3000,4.2200,4.2800,151978878,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-03-14,4.2700,4.2800,4.1400,4.2100,159719868,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-03-15,4.2300,4.3200,4.2200,4.2600,136787556,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-03-16,4.2200,4.2500,4.1700,4.1800,114237020,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-03-17,4.2000,4.2700,4.2000,4.2200,137014510,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-03-20,4.2000,4.2700,4.1900,4.2300,144262213,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-03-21,4.3000,4.3100,4.2100,4.2800,187088222,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-03-22,4.2900,4.5700,4.2800,4.5400,529693422,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-03-23,4.5400,4.6000,4.5200,4.6000,282593419,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-03-24,4.6200,4.6500,4.5100,4.6000,227051046,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-03-27,4.5900,4.6100,4.4200,4.4700,253670078,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-03-28,4.4800,4.5000,4.3800,4.3900,180659143,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-03-29,4.3900,4.4500,4.3500,4.4200,160484415,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-03-30,4.4100,4.4900,4.3800,4.4600,158302786,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-03-31,4.4400,4.4500,4.3600,4.4300,155588488,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-04-03,4.4000,4.5200,4.3700,4.5100,190062965,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-04-04,4.5000,4.5700,4.4600,4.5600,254948677,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-04-06,4.5600,4.6900,4.5400,4.6500,309032028,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-04-07,4.7200,4.7500,4.5800,4.6300,196052151,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-04-10,4.6000,4.6700,4.5200,4.5300,201911025,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-04-11,4.5400,4.6000,4.5300,4.5600,129904342,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-04-12,4.5300,4.6300,4.5200,4.6000,165667647,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-04-13,4.5700,4.6000,4.4700,4.4700,190470353,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-04-14,4.4900,4.5100,4.4300,4.4600,129343132,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-04-17,4.4600,4.4900,4.4300,4.4700,109248603,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-04-18,4.4600,4.4700,4.3800,4.4400,148027656,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-04-19,4.4300,4.4400,4.3500,4.3600,141651686,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-04-20,4.3600,4.4100,4.3300,4.3700,123865822,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-04-21,4.3700,4.3900,4.2100,4.2200,223760908,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-04-24,4.2100,4.2300,4.0700,4.1000,188420598,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-04-25,4.0900,4.1200,3.9800,4.0300,174587698,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-04-26,4.0200,4.0400,3.9300,4.0100,149149183,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-04-27,4.0000,4.0400,3.9500,4.0100,131838667,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-04-28,3.9900,4.0100,3.9600,4.0000,173418284,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-05-04,3.9900,4.0000,3.8600,3.9200,273986158,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-05-05,3.9200,3.9800,3.8700,3.9500,153447987,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-05-08,3.6000,3.6200,3.5100,3.5700,219745072,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-05-09,3.5600,3.6600,3.5200,3.5900,215150894,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-05-10,3.5900,3.6300,3.5700,3.6300,148053872,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-05-11,3.6400,3.7000,3.6100,3.6500,138439982,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-05-12,3.6500,3.6600,3.6000,3.6200,106956755,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-05-15,3.6200,3.6400,3.5500,3.6300,144625118,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-05-16,3.6300,3.6600,3.5900,3.6400,135064864,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-05-17,3.6300,3.6700,3.6200,3.6300,73854152,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-05-18,3.6400,3.6600,3.6300,3.6400,73473720,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-05-19,3.6400,3.7200,3.6200,3.6700,128219742,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-05-22,3.6800,3.7000,3.6300,3.6300,114207591,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-05-23,3.6600,3.7800,3.6400,3.6600,261044037,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-05-24,3.6400,3.6400,3.5200,3.5400,186737284,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-05-25,3.5200,3.5700,3.4100,3.4900,187687991,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-05-26,3.4700,3.5400,3.4600,3.5200,82824514,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-05-29,3.5700,3.8200,3.5700,3.7200,383553283,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-05-30,3.6800,3.7800,3.6400,3.7700,233682363,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-05-31,3.7700,3.8700,3.7600,3.8600,286455903,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-06-01,3.8600,3.8600,3.7800,3.8000,177689674,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-06-02,3.7900,3.8700,3.7700,3.8600,156708753,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-06-05,3.8600,3.9100,3.8200,3.8800,156302866,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-06-06,3.9000,3.9100,3.7900,3.8000,155251345,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-06-07,3.7900,3.8700,3.7800,3.8400,171928701,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-06-08,3.8300,3.8800,3.7900,3.8600,181705554,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-06-09,3.8500,3.9700,3.8400,3.9000,526479869,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-06-12,3.9300,3.9400,3.8600,3.8700,253903710,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-06-13,3.8600,3.8700,3.7800,3.8400,183759578,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-06-14,3.8500,3.8800,3.8200,3.8500,133994833,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-06-15,3.8400,3.8900,3.8200,3.8800,135259581,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-06-16,3.8700,3.9400,3.8600,3.9400,149599145,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-06-19,3.9200,3.9400,3.8700,3.9100,150391845,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-06-20,3.9000,3.9300,3.8600,3.9000,105115352,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-06-21,3.8900,3.9000,3.8100,3.8100,166323397,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-06-26,3.7500,3.8900,3.6700,3.7800,823923779,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-06-27,3.7800,3.8300,3.7300,3.7600,384141613,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-06-28,3.7800,3.8700,3.7200,3.8400,302278553,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-06-29,3.8200,3.9500,3.7800,3.8500,284766817,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-06-30,3.8400,3.9800,3.8300,3.9400,321453980,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-07-03,4.0000,4.1400,3.9600,3.9800,410283996,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-07-04,4.0300,4.0500,3.9400,4.0100,215492511,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-07-05,4.0000,4.0300,3.9600,3.9900,166788295,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-07-06,3.9800,4.1900,3.9800,4.1000,479467580,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-07-07,4.1200,4.2600,4.1100,4.1600,397256453,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-07-10,4.1800,4.2200,4.1400,4.1800,277329499,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-07-11,4.1600,4.2200,4.1600,4.2000,215684697,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-07-12,4.2100,4.2500,4.1800,4.1900,235276628,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-07-13,4.1900,4.2700,4.1900,4.2500,242444641,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-07-14,4.3000,4.5000,4.2800,4.4800,632401983,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-07-17,4.4800,4.5300,4.3800,4.4700,491204154,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-07-18,4.4700,4.4700,4.3500,4.4200,300427541,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-07-19,4.4000,4.4700,4.3700,4.4000,163006727,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-07-20,4.4000,4.4300,4.3100,4.3200,179992053,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-07-21,4.3400,4.3800,4.2300,4.2600,336663870,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-07-24,4.2700,4.3300,4.2500,4.2600,146168854,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-07-25,4.3100,4.3400,4.2300,4.2600,281836983,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
2023-07-26,4.2500,4.2900,4.1300,4.2200,281505791,sz.000100 | TCL科技 | baostock | adjustflag=3 raw
