time,open,high,low,close,volume,note
2023-02-24,51.0000,55.1800,51.0000,52.0300,26321697,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-02-27,52.0300,52.6900,49.6000,50.4800,17493609,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-02-28,51.6000,53.3500,50.3000,51.8800,16999869,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-03-01,51.4000,54.4000,51.4000,53.5000,19242737,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-03-02,52.9800,54.3500,52.5100,53.0300,14756757,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-03-03,54.0900,56.6600,50.8800,55.3100,35490448,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-03-06,54.9000,56.9900,54.2200,55.3900,25829321,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-03-07,54.7500,55.2800,52.1800,52.2600,17592305,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-03-08,52.3100,53.7900,52.2500,53.1600,11641059,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-03-09,52.8800,53.9400,51.7300,52.8900,12756681,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-03-10,52.5000,53.8200,52.3500,52.3500,12375061,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-03-13,51.9900,53.8000,51.8000,53.5500,11540251,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-03-14,52.9700,56.0000,52.8300,55.0000,18935935,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-03-15,55.4100,55.7800,53.5000,53.6300,12214280,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-03-16,52.8700,54.1700,52.5000,53.0300,8866895,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-03-17,53.9000,59.5800,53.7200,57.5000,28810286,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-03-20,57.7800,62.4000,56.9200,60.4200,26259928,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-03-21,60.1100,63.3800,58.9900,61.6000,22530673,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-03-22,61.1800,66.9000,60.0000,65.9300,26010186,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-03-23,64.6000,70.4400,63.8000,66.2000,30018975,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-03-24,66.8700,68.1800,63.8000,66.2500,25566062,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-03-27,65.2000,67.5000,60.6000,63.2600,35621836,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-03-28,64.1500,66.5500,62.5000,64.9000,29420458,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-03-29,64.0300,77.8800,64.0000,74.5000,57175949,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-03-30,75.1600,81.5000,74.1300,76.5000,53166112,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-03-31,75.0000,77.7700,71.8000,77.1700,40805292,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-04-03,77.4000,87.2700,76.3000,84.8000,43563012,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-04-04,82.2000,90.9000,80.8000,85.8800,36598984,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-04-06,83.3800,87.5800,80.9900,81.2300,33733505,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-04-07,82.0700,83.4700,79.7000,81.6500,24152646,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-04-10,80.5000,81.6300,73.6200,74.8000,36819589,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
2023-04-11,75.6100,77.0200,71.9500,76.0000,28457504,sh.688041 | 海光信息 | baostock | adjustflag=3 raw
