time,open,high,low,close,volume,note
2020-12-02,216.3000,222.6500,216.0900,218.7700,8449214,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-12-03,220.9700,222.0000,216.3600,217.0900,5260846,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-12-04,216.0000,219.5000,213.8000,217.6400,4895877,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-12-07,221.0000,225.6500,215.8300,216.8600,6068861,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-12-08,216.0000,220.9600,215.0100,218.0000,5751273,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-12-09,215.0000,221.5000,212.9600,217.1300,7448758,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-12-10,217.1500,237.3000,215.0000,232.4100,14224180,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-12-11,232.9900,238.0000,228.6100,232.7500,14374621,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-12-14,234.9900,238.3000,226.9900,235.8000,9148258,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-12-15,235.8000,243.8800,225.3800,228.5000,9399091,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-12-16,228.0000,230.5000,221.7700,228.2000,6324718,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-12-17,229.4600,231.6600,226.2200,228.9000,3884390,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-12-18,232.9900,236.3200,230.0200,233.0000,5653690,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-12-21,230.6900,233.0000,220.1000,227.1200,9729882,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-12-22,224.5000,224.9700,210.4800,212.7600,11279745,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-12-23,212.7600,222.3000,210.3000,218.9500,7839615,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-12-24,221.0000,230.1600,221.0000,230.0200,6697766,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-12-25,227.8900,231.2000,218.7000,220.0000,5511629,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-12-28,220.0000,226.9100,217.6000,223.8900,5381370,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-12-29,225.0000,228.5600,220.5000,221.7000,4647285,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
2020-12-30,220.0000,227.7400,219.0200,227.3800,5093389,sh.603501 | 豪威集团 | baostock | adjustflag=3 raw
