time,open,high,low,close,volume,note
2025-11-24,112.9900,113.5000,108.1800,111.5100,55790863,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-11-25,112.5000,113.9600,111.3700,111.6800,40722382,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-11-26,110.7000,113.9000,110.6100,112.7100,41955357,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-11-27,113.8000,116.8000,112.5600,112.7100,52343112,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-11-28,112.7100,114.1100,111.4000,113.6000,30866384,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-12-01,113.4000,114.6800,112.6000,114.4000,32764004,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-12-02,114.1000,114.1900,112.7000,113.0000,23777182,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-12-03,112.8000,113.6900,111.1300,111.6200,24541359,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-12-04,111.6500,114.7300,110.9800,114.7300,38755196,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-12-05,114.0000,114.8800,112.5000,114.1800,35265366,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-12-08,114.2100,118.0000,114.1800,117.2000,50835977,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-12-09,115.5800,117.9000,115.5100,116.3200,37138445,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-12-10,115.5800,116.5900,113.4400,116.3100,31571473,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-12-11,116.5300,117.1400,113.5000,113.6100,30310896,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-12-12,113.6100,117.4200,111.6000,116.8000,58499804,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-12-15,115.1500,116.5000,113.0000,113.0100,34241746,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-12-16,112.5000,113.3500,110.2700,110.7000,32337953,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-12-17,110.8200,113.9000,110.1300,113.2900,34389272,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-12-18,112.8000,115.7200,112.7500,112.8000,31470029,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-12-19,113.2000,115.4800,113.0000,113.6300,27261250,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-12-22,114.6000,121.4400,114.6000,120.4500,81011369,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-12-23,120.5000,121.5800,119.0200,119.9000,48360142,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-12-24,122.5000,124.3800,121.1100,123.4100,62956098,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-12-25,123.0000,125.9900,122.6600,123.0800,47180958,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-12-26,122.5800,124.7900,121.1600,122.1000,40239799,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-12-29,123.0000,125.6500,122.0200,122.5000,50683161,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-12-30,124.4500,126.6900,124.0000,125.2800,60495831,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2025-12-31,125.9900,126.2000,122.4000,122.8300,41158685,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2026-01-05,126.8400,130.1700,126.2000,129.9500,91139404,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2026-01-06,129.0000,134.2000,128.7700,131.8400,73069695,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2026-01-07,131.8400,132.8200,128.8500,129.9800,59804086,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2026-01-08,128.9500,134.6800,128.9100,130.1500,61691881,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2026-01-09,129.1500,130.0100,127.7700,128.8800,51127488,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2026-01-12,128.5200,129.6200,126.6800,127.6600,56393564,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2026-01-13,127.4900,128.1500,122.8600,123.6300,65207280,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
2026-01-14,123.5100,127.6000,123.5000,124.4900,64968391,sh.688981 | 中芯国际 | baostock | adjustflag=3 raw
