time,open,high,low,close,volume,note
2021-03-11,188.0000,194.9100,183.3600,190.0000,4202562,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-03-12,190.8800,190.8800,183.0200,187.8200,3070350,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-03-15,183.0600,186.0000,176.6000,180.0000,3486733,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-03-16,181.0000,187.5800,172.7800,176.5100,3039572,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-03-17,178.9000,189.0000,175.4500,188.4900,3084620,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-03-18,189.4300,200.5500,187.0000,198.0100,2427832,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-03-19,193.3900,203.8800,187.6100,189.0000,3100094,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-03-22,187.0000,205.8000,187.0000,203.0000,2689171,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-03-23,206.0000,206.0000,197.0800,202.1000,1582413,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-03-24,200.0000,209.5000,200.0000,202.0400,2634946,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-03-25,195.0000,202.0000,192.3100,197.5000,1982940,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-03-26,200.8900,209.4000,199.0800,207.5900,2517238,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-03-29,205.5800,208.0000,199.2500,201.9000,2162696,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-03-30,198.9000,202.9600,195.0200,195.6900,2937655,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-03-31,197.6500,209.3800,191.8900,209.3800,4077097,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-04-01,205.1200,205.1900,197.0500,200.2200,2774906,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-04-02,203.0000,203.2000,193.5300,201.5000,2535141,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-04-06,204.0000,209.5000,197.4300,204.9800,1847163,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-04-07,202.2000,203.9400,190.3600,196.0000,2710468,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-04-08,194.0400,194.0400,175.0000,180.0000,6420075,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-04-09,178.1100,180.9400,165.2300,167.1300,5928994,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-04-12,166.8000,168.4900,160.6400,168.0000,4422064,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-04-13,166.0000,169.4800,165.0000,168.1500,1608710,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-04-14,167.2900,176.8500,167.2900,171.3100,2116769,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-04-15,171.0000,172.9500,169.1800,171.7600,1313639,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-04-16,173.8800,174.7000,166.2100,173.9000,2040348,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-04-19,173.5000,174.9600,169.5000,171.0100,2010030,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-04-20,169.9000,174.3500,168.0100,170.5200,1932470,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-04-21,167.9900,170.4900,155.8600,159.8000,5298013,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-04-22,162.2100,175.8700,162.2100,175.8200,5379478,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-04-23,175.1000,179.3500,171.7200,176.0900,3263392,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-04-26,175.8000,181.0900,172.2100,179.4900,3418538,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-04-27,175.5000,186.9600,175.0000,184.0000,4061174,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-04-28,191.3500,193.0000,176.0000,179.0000,6082593,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-04-29,181.5100,184.5000,172.7200,172.9900,3995471,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-04-30,173.3500,178.1000,170.8900,174.3700,2601544,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-05-06,170.0000,170.1800,161.0300,163.6300,3968400,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-05-07,165.0000,165.5400,150.0000,150.0000,4691502,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-05-10,148.6400,156.5600,148.5100,154.0000,3468665,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-05-11,150.0000,155.8900,146.4400,154.7300,2505094,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
2021-05-12,155.0000,158.5000,151.0000,154.5500,1422984,sh.688036 | 传音控股 | baostock | adjustflag=3 raw
