time,open,high,low,close,volume,note
2024-12-27,60.6000,61.8800,60.0200,60.2900,4120765,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-12-30,60.5000,60.5000,59.1200,59.1400,4349873,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2024-12-31,59.4000,60.1400,57.4000,57.4000,5026008,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-01-02,57.0800,57.6300,54.4500,55.0100,5602295,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-01-03,55.1100,55.4700,52.8000,52.8800,5609884,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-01-06,53.0800,53.4900,51.9700,52.5500,4261650,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-01-07,52.7200,53.7700,52.7200,53.6500,3792222,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-01-08,53.4200,53.8800,51.5000,52.9200,3511120,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-01-09,52.9200,53.9500,52.5200,53.4800,2915425,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-01-10,53.4000,54.1500,52.5300,52.5300,3093624,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-01-13,52.4000,54.0000,51.8100,52.8000,3680848,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-01-14,53.3000,54.5900,52.8500,54.5900,4679495,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-01-15,54.4900,54.6000,53.6100,54.2800,3466882,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-01-16,54.8000,55.8500,54.2000,54.6900,3224710,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-01-17,54.1100,55.5500,54.1100,55.1100,3260430,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-01-20,55.5000,57.2600,55.0700,56.8500,5240737,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-01-21,56.9400,59.0700,56.6000,58.6900,6404840,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-01-22,58.5100,59.8000,58.1000,58.5500,4784183,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-01-23,59.2900,60.5000,58.5600,58.7600,4373301,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-01-24,58.1000,59.8700,58.0900,59.2800,3924649,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-01-27,59.9900,60.6000,59.1800,59.5400,3772976,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-02-05,62.8000,64.7800,62.2900,62.6000,9784060,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-02-06,62.1000,68.8600,61.7300,67.5000,12038759,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-02-07,67.4500,74.0000,66.6000,72.6400,19022622,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-02-10,73.3100,80.7000,73.2900,78.1800,19991870,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-02-11,77.0000,78.4800,75.4300,75.9300,12531948,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-02-12,75.8400,82.0500,75.0000,81.6000,17368856,sz.300454 | 深信服 | baostock | adjustflag=3 raw
2025-02-13,81.0000,92.5700,80.0000,87.9900,23571514,sz.300454 | 深信服 | baostock | adjustflag=3 raw
