time,open,high,low,close,volume,note
2019-12-09,427.0000,436.6600,425.0000,428.1900,1125967,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-12-10,425.0000,435.6500,416.9000,433.9900,1394999,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-12-11,432.9300,449.7900,430.0600,435.0000,1494381,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-12-12,440.0000,446.0000,436.0000,439.5500,1303427,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-12-13,441.0000,449.2000,435.0000,449.2000,1492851,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-12-16,449.9400,475.8800,449.2000,473.5600,1701996,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-12-17,468.1200,478.8800,468.1200,473.1000,999968,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-12-18,470.0100,472.3400,460.0000,465.0200,990105,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-12-19,465.0200,465.0200,422.0000,431.9600,2279104,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-12-20,431.8900,440.0000,424.1100,431.1500,1250272,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-12-23,410.0000,426.8800,407.3700,419.0300,1496836,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-12-24,421.1700,425.5000,414.8000,424.0300,933904,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-12-25,420.5000,437.8600,420.5000,426.5000,1703672,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-12-26,424.0000,429.5000,408.0000,421.4700,1416493,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-12-27,418.0000,421.0000,411.1400,415.8000,1020752,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-12-30,414.0000,425.0000,408.2000,418.5200,1174353,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2019-12-31,417.9400,421.0000,402.1000,410.3700,1498584,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-01-02,412.9000,419.0000,404.0100,409.6600,1660683,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-01-03,409.5700,409.5700,368.6900,395.2000,3611860,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-01-06,380.5000,395.5000,378.1300,387.0000,1844767,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-01-07,387.0000,388.9000,375.0000,377.9900,1670131,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-01-08,378.0000,412.0000,375.0000,408.8000,2826048,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-01-09,403.2600,414.9000,400.0000,412.6000,1672696,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-01-10,412.7600,438.6800,412.7600,426.4000,2245707,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-01-13,426.1000,452.4100,426.1000,450.0000,2027673,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-01-14,463.0000,466.0000,426.0000,432.9300,2109930,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-01-15,431.0000,436.0000,421.0000,433.7300,1327823,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-01-16,431.0000,431.9000,419.9900,425.3000,1469947,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-01-17,426.2300,432.0000,423.0000,426.8900,1044733,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
2020-01-20,427.0000,450.8000,423.7000,450.8000,1749009,sz.300782 | 卓胜微 | baostock | adjustflag=3 raw
