time,open,high,low,close,volume,note
2025-02-13,94.5300,95.5000,92.4700,92.7300,2734571,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-02-14,92.5100,94.4000,92.5100,93.1200,2563547,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-02-17,93.1200,93.9000,91.0200,91.4400,3636194,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-02-18,91.6500,92.4400,88.6500,89.0500,3556532,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-02-19,88.5000,92.1700,88.5000,91.9700,3758751,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-02-20,91.8600,94.6800,90.3300,92.6100,3675928,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-02-21,92.6800,93.5000,91.4200,92.9200,3074084,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-02-24,92.9200,95.1900,91.7900,93.8200,4295676,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-02-25,93.5000,102.2500,92.8600,99.5300,10058879,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-02-26,98.0100,103.9900,98.0000,102.5700,6718434,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-02-27,102.5900,103.6000,99.4000,101.0100,4103433,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-02-28,100.6000,102.3100,99.7000,99.8900,3538377,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-03-03,99.8900,104.1900,98.7000,99.3500,4557959,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-03-04,99.0000,99.3500,96.6000,97.9500,3060897,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-03-05,97.9500,100.0000,95.9000,98.4600,2938133,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-03-06,99.5000,102.0800,98.4800,100.4100,3522007,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-03-07,99.9000,99.9000,96.8700,97.3000,2889607,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-03-10,97.0000,99.2000,96.5600,97.5500,2199451,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-03-11,96.9000,96.9000,95.4000,96.3000,2299446,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-03-12,96.0900,96.8000,93.2000,93.3400,3951345,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-03-13,93.3500,93.4500,89.5000,90.0600,3575407,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-03-14,90.0000,91.7500,89.0000,90.8900,3702674,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-03-17,91.0400,92.9600,91.0400,91.5200,2542356,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-03-18,91.7900,92.6600,90.5100,91.8400,2525542,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-03-19,91.5800,93.9300,90.3000,91.3500,3495554,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-03-20,91.0900,91.2000,89.5000,89.7000,3271836,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-03-21,89.6000,90.0900,85.5200,85.8400,4880333,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-03-24,85.8400,86.3000,84.0400,85.2100,2543916,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-03-25,85.3100,86.6100,84.8000,85.5500,2387898,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-03-26,85.5500,88.3800,85.0100,86.4500,3340404,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-03-27,85.7200,85.7800,83.7500,83.8800,3214963,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-03-28,83.8800,85.7100,83.7500,83.9100,2679716,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-03-31,83.5000,83.5500,81.5100,82.0500,2684209,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-04-01,82.1700,84.2000,81.7600,82.8600,2473746,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-04-02,82.5000,84.1400,82.3500,82.6000,2085793,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-04-03,81.9900,82.9400,81.5300,82.0800,1898143,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-04-07,77.8100,78.4900,67.3100,68.4100,6291057,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-04-08,70.7400,73.7500,69.7500,70.5500,5321964,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-04-09,69.5000,71.7500,67.0100,71.1300,5127348,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-04-10,73.4500,73.9400,71.8100,71.8100,4418135,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-04-11,71.5000,73.1600,71.0900,72.0000,3856925,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-04-14,73.6000,74.7300,73.0000,73.3500,3626981,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-04-15,73.0100,73.3000,71.6000,72.1600,2414978,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-04-16,72.0000,72.0500,69.5300,70.8000,3255650,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-04-17,70.0500,71.2000,70.0300,70.0900,1796122,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-04-18,70.0900,70.2500,69.2600,69.8200,1649109,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-04-21,70.0500,70.8500,69.0600,70.6200,1693869,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-04-22,70.2400,71.4600,70.0800,70.5600,1998965,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-04-23,71.2700,71.8200,70.4100,71.0600,2113113,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-04-24,71.1800,71.7100,69.7500,69.7700,2196823,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-04-25,69.7000,71.2000,69.2700,70.4700,2225741,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-04-28,70.3500,70.5100,69.0800,69.1800,1975682,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-04-29,68.3000,70.7800,68.1100,68.6600,1987992,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-04-30,68.7000,70.2700,68.6700,69.4800,2157792,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-05-06,70.0000,71.6800,69.9000,71.5300,2764598,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-05-07,73.7000,80.9900,73.6700,78.0700,9595971,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-05-08,78.9800,84.6600,78.9800,83.5000,12387612,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-05-09,81.8800,82.2800,78.1900,78.5000,8022656,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-05-12,78.7000,79.1800,76.5500,78.0000,7375163,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-05-13,78.0900,80.8500,77.0000,77.4300,8642051,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-05-14,77.0000,77.3800,75.5000,76.4900,6064740,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-05-15,75.8800,76.5100,74.8000,74.8200,3532473,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-05-16,74.8200,75.5500,74.3800,74.5500,2707844,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-05-19,74.6000,75.4600,74.0400,75.1800,2412762,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-05-20,74.8100,76.2400,74.5500,75.4200,3212900,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-05-21,75.5000,75.9800,73.5000,73.7800,3680934,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-05-22,73.0500,73.3300,72.0100,72.0800,2840645,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-05-23,72.0900,72.9300,71.3200,71.3200,2316302,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-05-26,71.0400,71.9100,70.6900,71.5300,1791751,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-05-27,71.8100,72.1900,70.7600,71.9200,1997458,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-05-28,71.3100,71.7800,69.5000,69.8900,2355175,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-05-29,70.0200,71.4000,70.0200,71.3900,2440861,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-05-30,71.0000,71.2000,68.2100,68.2100,4354963,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-06-03,68.1000,68.4600,67.7000,67.9900,2649859,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-06-04,68.1000,69.4700,68.0100,68.9700,2157748,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-06-05,68.9700,69.1900,68.3100,69.1000,1950381,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
2025-06-06,69.4200,69.6900,68.8300,68.8900,1766720,sz.300751 | 迈为股份 | baostock | adjustflag=3 raw
