time,open,high,low,close,volume,note
2021-11-10,180.9000,188.7000,180.0300,186.0000,5145183,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-11-11,188.5900,195.8000,185.7800,189.0000,3454142,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-11-12,188.5400,190.4800,185.0200,187.2800,1791453,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-11-15,186.7200,189.3000,183.6000,187.0000,2216020,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-11-16,186.5000,196.8800,186.2700,190.5100,3813495,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-11-17,194.6000,196.7400,186.1000,187.8900,3830781,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-11-18,186.6700,189.9100,183.3700,184.9900,2764962,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-11-19,184.0000,185.4600,179.5800,181.8600,2556830,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-11-22,182.9000,183.9500,179.2600,180.8100,3050059,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-11-23,179.8300,182.2000,178.0000,181.2000,2783624,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-11-24,180.0000,184.1000,176.0000,183.3800,4147960,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-11-25,181.9600,189.8900,181.0000,187.1300,3923534,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-11-26,188.0200,194.0900,187.0000,190.1800,4503692,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-11-29,192.0000,193.1000,184.4000,185.7900,3842632,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-11-30,185.7700,186.9000,179.6100,181.6100,4379656,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-12-01,180.8300,183.8300,177.4000,178.0600,4344712,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-12-02,178.0000,179.9000,173.5200,174.3200,3255910,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-12-03,174.3700,180.0000,174.3600,176.2400,2418813,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-12-06,175.0100,176.4200,169.6000,170.2800,4082769,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-12-07,172.0000,174.7000,171.4500,173.7000,3332589,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
2021-12-08,175.2000,179.0000,173.2000,177.3700,3485473,sz.300759 | 康龙化成 | baostock | adjustflag=3 raw
