time,open,high,low,close,volume,note
2024-01-23,1632.0100,1639.9500,1609.0000,1619.0000,3483490,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-01-24,1629.0000,1633.8400,1603.5600,1626.0000,3321635,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-01-25,1626.8200,1641.0000,1622.0000,1638.0000,3120580,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-01-26,1630.3600,1644.1000,1623.0000,1637.3200,2695475,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-01-29,1640.3000,1660.5800,1640.2900,1650.0000,3142068,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-01-30,1649.9800,1649.9800,1610.0000,1613.0000,3086633,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-01-31,1613.0000,1619.9700,1598.1300,1604.9100,2964912,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-02-01,1605.5000,1623.8900,1601.0000,1610.0300,2648515,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-02-02,1615.0000,1627.7800,1581.0000,1596.0000,3938202,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-02-05,1596.0000,1637.4400,1595.2500,1630.0100,5313036,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-02-06,1630.0100,1685.4800,1626.1000,1676.0000,5247204,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-02-07,1681.0300,1714.5900,1661.6100,1710.9900,5260107,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-02-08,1720.0100,1725.0000,1685.0000,1706.0000,4675654,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-02-19,1737.8700,1737.9300,1688.0000,1695.4300,3697744,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-02-20,1697.3600,1697.3600,1656.5600,1670.0000,3447007,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-02-21,1666.0200,1731.0000,1662.0000,1717.6600,4615407,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-02-22,1707.5000,1723.0100,1700.5300,1718.3800,2279361,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-02-23,1711.1100,1724.3800,1700.0200,1714.0900,2730589,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-02-26,1708.0000,1708.7400,1685.0200,1694.9800,2731832,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-02-27,1683.0000,1692.9200,1678.0000,1689.5000,2207985,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-02-28,1688.9200,1696.5700,1674.0100,1681.5500,3186731,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-02-29,1681.5500,1696.5000,1679.2000,1695.0000,2475833,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
2024-03-01,1690.0000,1694.9700,1676.6800,1685.0600,2686796,sh.600519 | 贵州茅台 | baostock | adjustflag=3 raw
