time,open,high,low,close,volume,note
2018-06-22,38.6000,38.8800,37.8000,38.6200,2704243,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-06-25,38.5300,40.0000,38.5300,39.3400,2494720,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-06-26,39.1000,40.0500,38.8800,39.4800,3077045,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-06-27,39.9500,39.9500,38.1100,38.4000,4005323,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-06-28,38.3900,38.9500,38.1800,38.3100,2447832,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-06-29,38.0100,39.3900,38.0100,39.0000,3021494,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-07-02,39.4000,40.3000,38.8300,39.0100,3087479,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-07-03,39.0900,40.2500,37.9000,40.0200,4663036,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-07-04,39.9000,40.4800,39.3800,40.4300,4074417,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-07-05,40.1000,40.2300,39.1500,39.3800,2332240,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-07-06,39.0100,40.9100,38.8100,40.3200,3780433,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-07-09,40.4500,42.3000,40.4500,41.8900,5679693,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-07-10,41.8000,43.1900,41.6400,42.5200,5483107,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-07-11,42.0000,42.6000,40.5800,42.1600,4180008,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-07-12,41.8000,43.5600,41.7400,42.7300,3790168,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-07-13,42.8200,43.3700,42.3000,42.5000,2756504,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-07-16,42.6500,43.8500,42.5100,43.2300,3427766,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-07-17,43.1900,43.1900,42.1200,42.8000,2494112,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-07-18,42.9900,43.7400,42.3600,42.6200,2488723,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-07-19,42.4000,42.7000,41.2000,42.0000,2475924,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-07-20,42.0000,43.7900,41.7000,43.0500,4294565,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-07-23,43.0000,45.3800,42.9300,44.0000,7578848,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-07-24,44.1600,44.9000,42.3300,42.4900,9191291,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-07-25,42.4000,43.7000,41.7800,42.1800,6775525,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-07-26,42.2900,43.3800,41.6000,42.2000,6161464,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-07-27,41.8500,42.2000,41.2000,41.6500,4105261,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-07-30,41.8800,42.8200,41.6000,42.6700,5197574,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-07-31,42.5300,43.1800,41.7100,41.9800,4251035,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-08-01,42.2000,43.0000,41.9000,41.9600,5977374,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-08-02,41.5800,41.9000,38.6100,40.4200,9206806,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-08-03,40.1300,40.7500,39.9200,39.9200,3195115,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-08-06,39.9500,40.1400,38.8800,39.0900,3533295,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-08-07,39.2300,39.5900,37.8700,39.4700,5224791,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-08-08,39.5000,39.5000,38.0700,38.2700,2925082,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-08-09,38.4000,40.9000,37.8500,40.6000,6039196,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-08-10,40.2600,41.1800,40.0300,40.8700,3327254,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-08-13,40.8000,41.6000,40.3900,40.9900,4308409,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-08-14,41.2500,41.5800,40.7800,41.0000,2367961,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-08-15,41.2200,41.4000,40.4600,40.8100,3098322,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-08-16,40.5100,40.8500,39.5100,40.3600,2140257,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-08-17,40.6900,41.1500,39.5000,39.6400,1953981,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-08-20,39.7000,40.1300,38.6300,39.7000,3099000,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-08-21,39.4100,40.8500,39.4100,40.4600,3954092,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-08-22,40.4200,41.6000,40.3100,41.0200,3968807,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-08-23,40.6400,42.3000,40.6400,41.4600,4114155,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-08-24,41.4500,41.8800,41.0600,41.6600,2849583,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-08-27,41.5200,42.6500,41.3300,42.0000,7710784,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-08-28,41.9000,43.3800,41.9000,43.0000,6185513,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-08-29,43.2900,43.2900,41.9000,42.0000,4135184,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
2018-08-30,41.8500,42.5900,41.5000,42.1300,3837400,sz.002179 | 中航光电 | baostock | adjustflag=3 raw
