time,open,high,low,close,volume,note
2018-06-04,23.3500,23.6400,22.9400,23.5600,8767740,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-06-05,23.6800,24.0600,23.6300,23.9800,6209723,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-06-06,23.9900,24.4200,23.8600,24.3400,7406041,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-06-07,24.4100,24.9400,24.4100,24.7400,9128439,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-06-08,24.7900,25.1000,24.7000,24.9900,12760423,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-06-11,24.9000,25.0700,24.3600,24.6000,7082718,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-06-12,24.6900,25.1600,24.1700,24.4200,10065582,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-06-13,24.1800,24.6500,23.8800,24.4200,9217298,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-06-14,24.4600,24.4800,23.9000,24.1000,5905115,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-06-15,24.1000,24.2900,23.7000,23.7100,4880127,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-06-19,23.2200,23.8000,22.5200,22.5200,12100706,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-06-20,22.6900,23.2000,22.4000,22.8800,7699500,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-06-21,23.0000,23.1300,22.5000,22.5000,7115749,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-06-22,22.5000,22.7800,22.2000,22.4900,6288906,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-06-25,22.8300,23.0000,22.0400,22.1100,5585899,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-06-26,21.9200,22.4200,21.5800,22.1600,8452417,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-06-27,22.3900,22.7000,22.2100,22.4500,5550485,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-06-28,22.4400,23.4200,22.3500,23.0600,7563425,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-06-29,23.2600,23.6600,23.0900,23.5000,7915336,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-07-02,23.5000,23.7700,23.2000,23.2800,7967597,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-07-03,23.5000,23.9700,23.2500,23.8900,12080829,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-07-04,23.8300,23.9700,23.5100,23.5300,5650195,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-07-05,23.6000,23.7600,22.7500,22.7500,8307221,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-07-06,22.9400,23.3500,22.6500,22.9800,12384616,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-07-09,23.5100,24.4500,23.3000,24.3600,18743071,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-07-10,24.5500,24.9900,24.1600,24.7100,12260022,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-07-11,24.0200,24.9500,23.9000,24.8900,11899547,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-07-12,24.9000,26.6600,24.7000,26.1000,23193530,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-07-13,26.0000,26.8800,25.8900,26.5000,20268276,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-07-16,26.6600,26.8300,25.8100,26.0000,18782365,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-07-17,26.1000,26.3400,25.6500,26.3000,18827511,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-07-18,26.2700,26.4500,25.4800,25.5300,16545930,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
2018-07-19,25.8700,26.1000,25.5200,25.9100,12541824,sz.300408 | 三环集团 | baostock | adjustflag=3 raw
