time,open,high,low,close,volume,note
2025-04-18,49.5000,50.1500,48.9500,49.3900,6331459,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-04-21,49.3900,51.7800,48.9900,50.7500,10146912,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-04-22,50.7300,52.1300,49.7900,51.0100,12955673,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-04-23,52.0000,52.9000,51.2000,51.4900,9920733,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-04-24,51.7000,51.7200,50.2600,50.2900,7086410,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-04-25,50.4400,51.9200,50.3500,51.1300,8342866,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-04-28,52.0000,53.2900,51.0800,51.2700,9143574,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-04-29,53.0100,54.4300,52.5600,53.2600,16779972,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-04-30,52.7800,53.6400,52.0200,52.4000,10327990,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-05-06,52.6900,54.3000,52.4200,54.1800,12287580,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-05-07,55.5000,55.9000,53.4200,53.9000,11540317,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-05-08,53.8000,56.5600,53.5000,56.0300,15032217,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-05-09,55.5000,56.4800,54.3500,55.5100,10831953,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-05-12,56.4900,57.6500,56.0000,57.0900,13296390,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-05-13,57.3000,58.7500,56.2000,56.3800,15549564,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-05-14,56.1800,56.1800,54.7000,55.5700,10167972,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-05-15,55.3600,55.6200,54.7100,54.9300,6290916,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-05-16,54.7000,56.5000,54.1200,54.2500,8893253,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-05-19,54.0400,56.4700,54.0400,55.6000,10681296,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-05-20,55.5000,55.5700,54.6300,54.9500,5853916,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-05-21,54.9100,55.2800,54.2800,54.5600,5721366,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-05-22,54.1200,54.5400,53.1200,53.1500,6363517,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-05-23,53.0000,53.5200,52.1900,52.4900,7575036,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-05-26,52.4900,53.6600,52.3100,52.7600,4986166,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-05-27,52.7100,52.8800,51.8700,52.1800,4265862,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-05-28,52.2000,52.5000,51.0000,51.1400,4115600,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-05-29,51.2700,51.8900,51.2000,51.6000,4109403,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-05-30,51.4200,51.5400,50.7100,51.0900,3607513,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-06-03,50.7000,51.7600,50.5300,51.5800,3676205,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-06-04,51.7500,52.7900,51.6600,51.9500,5700064,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-06-05,52.2600,52.5900,51.8100,52.4800,4305114,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-06-06,52.5700,52.5700,51.8800,51.9600,3363100,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-06-09,52.1800,54.4500,52.1800,53.8300,8616308,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-06-10,54.0000,56.2300,54.0000,54.6000,14697938,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-06-11,54.6600,55.5000,54.5000,54.6900,5905796,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-06-12,54.5300,55.1000,54.0200,54.4700,5087305,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-06-13,54.0300,55.3800,53.5300,53.6100,6555391,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-06-16,53.3000,55.4900,53.2600,54.6200,5089200,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-06-17,54.6000,54.7900,53.7500,53.8800,4468873,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-06-18,53.7800,55.6800,53.7800,54.7300,9685550,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-06-19,54.3400,54.8100,52.6300,52.8900,7541506,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-06-20,53.0100,54.4500,52.3100,52.3100,7330942,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-06-23,52.0900,53.4500,51.8100,52.8400,5486983,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-06-24,53.2800,55.1500,52.9300,55.0200,9656528,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-06-25,55.0000,55.6100,54.6800,55.5200,6629119,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-06-26,55.5200,55.7500,54.6500,54.6700,5826543,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-06-27,54.8800,56.1500,54.8800,55.1600,7262523,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-06-30,55.4800,58.0000,55.4800,57.3900,11092946,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-07-01,57.0100,57.6600,56.1000,57.0100,7881103,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-07-02,57.3000,58.0800,56.7400,57.5600,10755929,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-07-03,57.1200,60.0800,57.1100,59.1000,14758783,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-07-04,59.4000,59.8000,56.7700,56.9900,11447872,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-07-07,56.6700,57.3800,56.3000,56.9800,5627415,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-07-08,56.9100,62.6000,56.7000,61.4500,22087016,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-07-09,61.1600,63.9800,61.1300,63.0400,21942714,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-07-10,63.0000,64.9200,62.7500,63.7000,18143518,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-07-11,63.5100,64.4700,62.8900,64.0200,13303659,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-07-14,63.8000,63.8000,62.0200,62.6500,11060374,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-07-15,62.4900,63.2100,61.0200,61.3000,9295544,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-07-16,61.1300,62.0600,60.5600,61.5000,7997296,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-07-17,61.9900,62.3800,58.4700,59.4600,20714278,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-07-18,59.0000,59.8800,58.7400,59.3100,10320868,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-07-21,59.0800,59.5200,58.3200,58.8800,10346800,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-07-22,58.8400,59.9500,58.6000,59.4300,11291541,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-07-23,60.0600,60.0600,57.9600,58.1500,10487460,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-07-24,57.8300,59.6900,57.8300,59.6900,10312796,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-07-25,59.6300,59.8800,59.0700,59.2300,6382387,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-07-28,59.2000,59.7700,58.5200,58.9900,6150982,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-07-29,59.0300,60.1100,58.6200,60.0800,8860277,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-07-30,59.7900,60.2000,58.2600,58.7500,9736452,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-07-31,58.3100,58.8500,56.8000,56.8700,12365440,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-08-01,56.8700,58.6500,56.8700,57.8600,9890518,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-08-04,57.5000,57.8600,56.9000,57.7100,6908546,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-08-05,57.9800,58.9900,57.6800,58.8400,7331752,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-08-06,58.5000,59.1000,58.3200,58.8700,5606722,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-08-07,59.1000,59.3000,57.5300,58.3000,7550008,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-08-08,58.1200,62.0000,58.1000,60.0300,18330639,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-08-11,60.3900,61.1500,59.5900,61.0300,14742852,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-08-12,61.1300,62.2200,60.2800,61.7100,13882265,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-08-13,61.7100,64.8900,60.7000,64.0600,21082899,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-08-14,63.8000,65.6800,62.1100,64.2000,18877870,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-08-15,66.5000,67.8000,63.4000,65.2000,34884099,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-08-18,64.8000,66.4200,64.1700,65.2000,24186963,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-08-19,65.2000,66.5700,63.9900,64.0300,18878531,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-08-20,65.0000,65.3300,63.6500,64.8700,12892378,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-08-21,64.8000,65.4900,64.4100,64.6400,10502578,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-08-22,64.5800,66.7300,64.4100,65.9300,16228875,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-08-25,66.0000,67.5900,65.6200,67.2600,18038072,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-08-26,66.8400,68.2000,65.6800,66.1400,13569562,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-08-27,66.0000,67.7800,64.6800,64.7900,17365708,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-08-28,64.5900,66.8000,64.4900,66.4800,18332793,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-08-29,66.2000,70.9800,65.6100,67.6300,29072393,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-09-01,67.7600,69.3600,66.8500,69.1900,20870040,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-09-02,69.0300,71.6000,67.5800,67.9800,20681932,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-09-03,68.3400,77.1000,67.9600,73.3300,39313114,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-09-04,74.0000,78.7800,72.9500,74.3700,45923637,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-09-05,73.9900,89.2400,73.2000,89.2400,53190147,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-09-08,94.9900,95.8000,89.3100,91.0100,63482511,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-09-09,90.0000,92.4000,86.8800,88.4100,37381049,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-09-10,86.1700,89.0000,83.5000,84.4900,39709132,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-09-11,83.1000,85.4700,82.0200,85.3100,34792555,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-09-12,84.8800,85.9700,82.8200,82.9800,31690049,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-09-15,84.0100,89.4000,84.0100,84.6300,40281066,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-09-16,83.5100,85.5000,81.2300,83.7100,28529161,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-09-17,83.5000,84.4400,81.8000,83.7100,23997033,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-09-18,83.0600,86.9300,82.0200,84.4000,35464901,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-09-19,83.8000,87.5600,82.4800,85.8500,28018117,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-09-22,85.0000,85.2700,81.4500,81.5100,25824580,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-09-23,80.8000,84.8500,80.0100,82.6200,22225215,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-09-24,81.7800,86.1200,80.8800,85.7500,29850878,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-09-25,85.7500,88.8800,84.1000,87.4800,32680921,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-09-26,86.0000,89.5300,83.9300,83.9300,24844760,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
2025-09-29,85.0000,91.6900,84.5900,88.5400,34633854,sz.300763 | 锦浪科技 | baostock | adjustflag=3 raw
