time,open,high,low,close,volume,note
2025-09-17,33.7300,34.2500,33.6000,34.0000,3963989,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-09-18,33.9000,34.8000,33.4000,33.8500,6486940,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-09-19,33.8700,34.0000,33.2100,33.3200,4159556,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-09-22,33.3500,33.6100,32.8700,33.1100,4590045,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-09-23,33.1000,33.3300,31.7800,32.6800,5534436,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-09-24,32.3800,33.6800,32.3800,33.6000,6755190,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-09-25,33.7000,34.6000,33.6700,34.3000,6366525,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-09-26,34.2500,34.2500,33.4100,33.4400,4357639,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-09-29,33.4200,33.6000,32.8200,33.2500,4859083,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-09-30,33.3100,33.9700,33.3100,33.8700,4047180,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-10-09,34.0900,37.0100,33.8100,35.9800,14012385,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-10-10,35.6700,35.7800,34.9100,35.2300,8051526,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-10-13,33.9600,35.0500,33.7500,34.5000,8925861,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-10-14,34.5500,35.0700,33.0300,33.1600,8614434,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-10-15,33.1500,33.3800,32.1800,32.8400,6657782,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-10-16,32.5100,32.9100,32.4000,32.5300,4029086,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-10-17,32.4500,32.5800,31.2800,31.4500,5452907,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-10-20,32.0200,32.1000,30.2700,30.7300,10359312,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-10-21,30.7000,30.8900,30.4800,30.7500,6139287,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-10-22,30.6100,30.9000,30.3800,30.7000,3773389,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-10-23,30.5800,30.7500,30.2200,30.7000,3842707,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-10-24,30.8300,31.6600,30.8000,31.5700,7090930,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-10-27,31.8500,32.5800,31.7800,32.3900,7883432,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-10-28,32.3000,32.4100,31.9300,32.1200,4075259,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-10-29,32.0400,32.9200,31.9700,32.7400,5589260,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-10-30,32.7500,32.8000,32.2200,32.3200,3949747,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-10-31,32.2900,32.6700,32.2000,32.2800,3520668,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-11-03,32.3600,32.4000,31.5000,31.9200,5491457,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-11-04,31.8000,31.8000,31.0300,31.2200,4590639,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-11-05,30.9200,31.3100,30.8100,31.1500,2548131,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-11-06,31.1200,31.4400,31.0300,31.2700,2478600,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-11-07,31.1400,31.3100,30.9700,31.1300,1846606,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-11-10,31.1300,31.3900,31.0000,31.2600,2616901,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-11-11,31.3200,31.4400,31.0600,31.1400,2278976,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-11-12,31.0600,31.2600,30.7000,30.8600,2734334,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-11-13,30.8800,31.0000,30.7800,30.9900,2892128,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-11-14,30.7500,30.9600,30.5000,30.5000,3662850,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-11-17,30.5100,30.5500,30.1300,30.4300,2758627,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-11-18,30.4100,30.6500,30.1800,30.6400,2656239,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-11-19,30.5500,30.5900,30.1500,30.1900,2226953,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-11-20,30.4100,30.4200,29.6800,29.7700,2664324,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-11-21,29.6000,29.9700,29.2800,29.6500,3261440,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-11-24,29.7800,29.9500,29.2900,29.7700,2786888,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-11-25,29.8900,30.2500,29.7700,29.9600,2538894,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-11-26,29.8600,30.0900,29.5200,29.5700,2797226,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-11-27,29.6000,29.7900,29.2200,29.2200,3811799,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-11-28,29.2000,29.3600,28.7500,29.3000,3087745,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-12-01,29.3700,29.9000,29.0500,29.8100,4551763,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-12-02,29.8000,30.1600,29.5000,29.8200,3548067,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-12-03,29.9200,30.0500,29.4400,29.8200,2707380,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-12-04,30.0300,30.0300,29.2800,29.5000,2222118,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-12-05,29.6500,29.6900,29.2800,29.6300,2783424,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-12-08,29.6300,30.3700,29.6300,30.0500,3699805,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-12-09,30.0600,30.0600,29.5600,29.6200,2758441,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-12-10,29.6200,29.8000,29.3400,29.5900,2393230,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-12-11,29.5900,29.6900,29.1500,29.1500,2304490,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-12-12,29.3000,29.6100,29.0800,29.3100,3465182,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-12-15,29.2100,29.5000,28.8000,29.0500,2795720,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
2025-12-16,28.9100,29.0800,28.5500,29.0100,2387350,sh.688475 | 萤石网络 | baostock | adjustflag=3 raw
