time,open,high,low,close,volume,note
2023-05-23,230.8800,231.7100,225.1500,225.4200,19613196,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-05-24,224.8000,228.5100,223.7200,225.2500,14785735,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-05-25,224.8500,227.6800,222.4900,224.0900,13753272,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-05-26,224.2000,224.5000,217.5000,220.0000,18211695,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-05-29,222.2000,222.2200,215.6000,217.0600,16537161,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-05-30,217.0000,224.9900,216.0100,224.9900,26467083,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-05-31,225.0500,226.8900,220.1600,221.1700,18869744,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-06-01,222.6400,228.0000,221.5100,222.9000,15941049,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-06-02,224.9000,229.9900,224.0000,228.4400,23181483,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-06-05,225.9000,225.9000,216.3900,219.8000,33595114,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-06-06,218.0100,222.3000,216.9800,219.2800,17242526,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-06-07,216.3800,216.5000,204.4500,207.3000,50093939,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-06-08,212.7500,213.3000,207.0000,208.0100,23857940,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-06-09,208.5500,213.1300,208.5500,212.0400,24261728,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-06-12,211.9500,214.0000,208.9000,211.9500,18131632,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-06-13,211.0100,213.9300,210.6800,213.1000,13243699,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-06-14,217.1500,217.6300,213.0000,213.4000,16362927,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-06-15,214.9900,230.8800,214.8900,230.8800,50495682,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-06-16,232.0000,234.1700,228.3000,231.1000,29639828,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-06-19,232.9900,232.9900,226.0000,227.8800,18707081,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-06-20,227.8700,231.3100,225.7700,228.0000,17960501,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-06-21,228.8100,230.5000,224.9000,224.9100,17118438,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-06-26,219.9100,226.9500,219.6800,225.1700,15910609,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-06-27,223.9800,226.3000,221.1800,223.4700,13420648,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-06-28,222.2200,226.5000,222.0000,224.5000,13558644,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-06-29,223.5100,226.9100,222.5000,222.5000,9930233,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-06-30,223.9900,229.9900,220.3500,228.7900,21551522,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-07-03,231.9500,233.9500,228.5500,229.8800,15554352,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-07-04,228.5000,230.0500,227.6800,229.2500,10155673,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-07-05,229.2600,230.4100,225.5000,227.5100,8636414,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-07-06,227.0000,228.4800,223.9700,224.8500,10283568,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-07-07,224.8000,224.8500,221.6000,222.2500,9808377,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-07-10,223.0000,230.0000,223.0000,228.8000,16093831,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-07-11,229.6500,229.9900,226.5800,229.0900,9158787,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-07-12,228.5000,229.4000,226.5000,226.9900,8693260,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-07-13,228.2100,235.0000,228.2100,230.0000,22257672,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-07-14,230.1500,230.9300,226.5500,228.2800,13004091,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-07-17,227.0100,228.0000,223.6000,225.6500,10452522,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-07-18,227.8000,227.8800,224.5000,225.5000,8575776,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
2023-07-19,224.0000,224.9500,218.5800,219.5000,17600182,sz.300750 | 宁德时代 | baostock | adjustflag=3 raw
