time,open,high,low,close,volume,note
2026-04-10,4.5800,4.6000,4.5700,4.5800,75554451,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-04-13,4.5700,4.5900,4.5500,4.5900,68919272,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-04-14,4.5800,4.6200,4.5700,4.6000,75667809,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-04-15,4.6000,4.6700,4.5800,4.6600,111064347,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-04-16,4.6600,4.6800,4.6400,4.6600,78997726,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-04-17,4.6600,4.6800,4.6300,4.6400,79620253,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-04-20,4.6500,4.6900,4.6400,4.6900,70719408,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-04-21,4.6800,4.7800,4.6600,4.7600,140610744,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-04-22,4.7500,4.8200,4.7300,4.8000,123903934,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-04-23,4.8000,4.9000,4.7500,4.8900,169071331,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-04-24,4.9000,4.9100,4.8400,4.8800,108778404,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-04-27,4.8500,4.9300,4.8300,4.9100,100402532,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-04-28,4.9000,5.0000,4.8000,4.9800,189494676,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-04-29,4.9200,5.0400,4.8800,5.0200,165349415,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-04-30,5.0000,5.0500,4.9700,4.9900,95517561,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-05-06,4.9900,5.0600,4.9700,5.0600,111781450,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-05-07,5.0500,5.1700,5.0300,5.1000,124498123,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-05-08,5.1100,5.2000,5.0900,5.1300,117108454,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-05-11,5.1300,5.2700,5.1300,5.2300,164608310,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-05-12,5.2400,5.3800,5.2300,5.3300,188206195,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-05-13,5.3200,5.4400,5.2800,5.3900,190776712,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-05-14,5.4000,5.5200,5.2600,5.2700,277371538,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-05-15,5.2400,5.3800,5.1800,5.3400,183820247,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-05-18,5.3000,5.3900,5.2700,5.3800,135877713,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-05-19,5.3600,5.5500,5.3400,5.5000,209274977,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-05-20,5.5000,5.5000,5.2000,5.2300,183409598,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-05-21,5.2000,5.2600,5.1200,5.1300,120849770,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-05-22,5.1500,5.1900,5.0800,5.1300,89385351,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-05-25,5.1100,5.1900,5.0800,5.1700,87914903,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-05-26,5.1900,5.2200,5.1100,5.1800,100247641,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-05-27,5.1500,5.3200,5.1100,5.2900,171790525,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-05-28,5.3000,5.4300,5.2500,5.3000,195453804,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-05-29,5.3000,5.6600,5.2800,5.5600,343914057,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-06-01,5.6200,6.0800,5.4100,5.9200,525797054,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-06-02,5.7700,5.7900,5.5500,5.6000,354935484,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-06-03,5.5000,5.7000,5.4000,5.5900,302924116,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-06-04,5.5500,5.6000,5.4300,5.4400,197561304,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
2026-06-05,5.4500,5.6000,5.1800,5.2000,252684383,sh.600027 | 华电国际 | baostock | adjustflag=3 raw
