time,open,high,low,close,volume,note
2025-06-09,22.0900,22.3900,21.9600,22.1900,51565296,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-06-10,22.1100,22.4200,21.7500,22.0800,73744268,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-06-11,22.0800,22.7200,22.0000,22.2900,64920165,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-06-12,22.2000,22.9500,22.1500,22.4300,82536922,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-06-13,22.2800,22.7000,21.8800,22.0100,53776065,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-06-16,21.9000,22.6500,21.8500,22.3200,60445131,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-06-17,22.5200,23.3900,22.5200,22.9600,131739564,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-06-18,22.8500,23.8500,22.8200,23.6300,125637587,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-06-19,23.5500,23.8200,23.0200,23.2200,71316228,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-06-20,23.1400,23.1800,22.6900,22.7800,51539831,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-06-23,22.6000,23.1500,22.5500,22.9200,56415404,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-06-24,23.1300,23.4700,22.9900,23.3900,77809655,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-06-25,23.4800,23.8900,23.1500,23.7200,84410424,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-06-26,23.8900,23.9500,23.3000,23.4000,64564905,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-06-27,23.5600,23.8200,23.0000,23.4000,71023364,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-06-30,23.4700,23.5600,23.1900,23.3200,66058149,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-07-01,23.3200,23.3900,22.8900,23.2000,56432413,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-07-02,23.1100,23.1100,22.5900,22.6600,53002865,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-07-03,22.7700,23.9100,22.7600,23.7000,152263300,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-07-04,23.5700,23.5700,23.1100,23.1400,66346145,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-07-07,23.1000,23.1000,22.1600,22.1900,111605681,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-07-08,22.1800,22.6700,22.1500,22.6400,71663588,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
2025-07-09,22.6600,23.0900,22.5000,22.5900,69803893,sz.002241 | 歌尔股份 | baostock | adjustflag=3 raw
