time,open,high,low,close,volume,note
2020-03-16,66.1000,66.8000,59.9900,59.9900,36381089,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-03-17,61.5200,62.0000,57.1100,59.0800,24741201,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-03-18,60.0100,62.6500,58.0000,58.1800,23647947,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-03-19,59.7700,60.2000,56.5200,58.9500,23532152,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-03-20,60.4200,60.6800,57.4000,59.2000,19645248,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-03-23,56.6400,57.8000,53.2800,53.2800,26522328,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-03-24,54.3000,54.7500,50.4500,52.9000,36070813,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-03-25,54.9500,58.1900,54.7500,58.1900,42014634,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-03-26,57.5900,57.5900,55.2500,55.2900,30904747,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-03-27,56.4500,57.4700,54.8800,55.1200,22662841,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-03-30,53.2100,57.6800,52.0000,56.0500,30258156,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-03-31,57.4000,58.7400,56.8000,58.1100,28695678,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-04-01,59.3000,61.5500,57.4000,58.4000,29593637,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-04-02,58.0000,61.8800,57.6100,61.8400,26479722,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-04-03,61.8000,63.1000,60.7500,61.3700,17609870,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-04-07,63.2200,64.2000,62.1800,63.2600,18783876,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-04-08,62.7900,64.3300,62.1800,63.0500,14679190,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-04-09,63.7500,63.9800,61.4000,62.7400,13556374,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-04-10,61.1700,61.8000,58.5600,59.0100,21375424,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-04-13,57.0000,58.7000,54.9600,56.7900,18887060,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-04-14,57.9600,61.1600,57.6100,60.9600,24371742,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-04-15,61.5800,61.6300,59.1300,59.1800,17097849,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-04-16,59.2400,60.6500,58.2900,60.3800,12998177,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-04-17,61.6000,64.3000,61.6000,63.1700,28156340,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-04-20,65.4900,66.4500,63.4000,66.0300,24875931,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-04-21,65.0000,65.5000,61.8500,62.8800,23050759,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-04-22,61.8700,64.0000,61.4800,63.9400,13652869,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-04-23,64.0000,64.3000,61.9200,63.0000,16369665,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-04-24,63.0000,64.8700,62.5200,62.8100,13817020,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-04-27,63.0000,63.9000,61.8000,62.0000,9442010,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-04-28,62.3000,65.2500,61.5300,64.5500,20377819,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-04-29,64.0300,64.9800,63.1000,63.8300,11583698,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-04-30,64.8300,68.1700,64.8200,67.5000,22038351,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-05-06,66.6700,70.3700,66.4500,69.6200,23268701,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-05-07,69.2900,69.8800,68.0800,68.1600,15768815,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-05-08,68.5900,68.8800,66.5800,67.6800,17634380,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-05-11,68.0800,68.4600,66.3800,67.0600,12088272,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-05-12,66.9000,68.9500,66.4800,68.8000,12659354,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-05-13,68.2000,69.2000,67.5400,68.1500,9970496,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-05-14,67.9800,67.9800,65.6600,65.7200,13416714,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-05-15,66.1200,67.5600,65.6100,66.2400,13071986,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-05-18,64.9000,64.9000,61.4000,61.8600,21840398,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-05-19,62.4100,64.2300,62.2000,62.8500,13404337,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-05-20,63.8500,68.0000,63.8500,64.7400,30221787,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-05-21,65.9800,66.0000,60.7000,60.8000,29097830,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-05-22,60.8100,61.8000,60.0000,60.6100,13910966,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-05-25,60.6000,61.8400,58.9700,61.4800,13442539,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-05-26,61.9600,63.4900,61.6200,63.0500,14441452,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-05-27,63.2900,65.8700,62.6500,62.8200,20063813,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-05-28,63.2000,64.0000,61.7400,63.8500,11659097,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-05-29,65.1600,65.7700,63.8600,64.9300,16545097,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-06-01,65.9200,68.3000,65.1000,68.0500,23013291,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-06-02,69.4500,69.9500,67.9000,68.8900,18617790,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-06-03,68.8900,70.9700,67.9000,69.1400,19177978,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-06-04,69.3400,72.5700,69.3200,71.7900,16654684,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-06-05,71.8200,73.8600,71.0500,73.3900,15123481,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-06-08,74.8000,76.0900,73.4600,73.7400,15692497,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-06-09,39.0000,39.3000,38.0100,38.8500,26551806,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-06-10,38.7000,42.6600,38.6300,41.9500,54289459,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-06-11,43.0600,43.5700,41.9800,42.2500,54554042,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-06-12,41.4200,43.3400,41.4100,41.8100,50630759,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-06-15,43.0000,43.4900,41.5000,42.2900,35986167,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-06-16,43.2000,44.2000,42.5700,42.9300,32050373,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-06-17,42.8000,42.8000,41.7400,42.3200,27150434,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-06-18,42.2500,43.3200,41.7400,42.5100,23782205,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-06-19,43.2000,45.1000,43.1600,43.8000,47767485,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-06-22,44.1500,45.0600,43.6000,44.4700,30231790,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-06-23,44.4800,45.4200,44.3000,44.8000,27042967,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-06-24,44.4600,44.9500,44.0200,44.3800,20701578,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-06-29,45.0100,48.4800,44.4800,47.5500,46708182,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-06-30,47.6100,48.0000,47.1100,47.8500,28786078,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-07-01,47.8000,49.9200,46.7700,47.3500,33556089,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-07-02,47.5000,48.1700,45.8000,46.1600,40880165,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-07-03,46.8600,47.8300,46.3700,47.1200,33296670,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-07-06,48.0000,49.1600,47.3000,48.7200,55959008,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-07-07,50.1800,53.5900,50.1800,53.5900,50028687,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-07-08,55.5000,57.0000,52.4000,55.6800,65553117,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-07-09,55.0000,60.0000,53.9200,60.0000,62878653,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-07-10,59.0000,59.0000,54.8700,56.6700,92331911,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-07-13,57.3000,58.9900,55.5000,58.1300,63994444,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-07-14,56.7000,56.7400,53.1000,53.9100,79846479,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-07-15,54.7000,55.4900,51.0100,53.2200,62577430,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-07-16,53.4100,55.2800,51.4800,51.7700,57710409,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-07-17,51.8000,52.9900,50.2600,51.9700,38684803,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-07-20,53.0600,53.4900,50.7100,52.4800,40312878,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-07-21,54.1000,54.5000,52.6900,53.4200,38699004,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-07-22,53.9500,56.9900,53.5200,56.5000,63124333,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
2020-07-23,55.9000,60.7600,55.6000,59.1400,73551433,sz.300014 | 亿纬锂能 | baostock | adjustflag=3 raw
