time,open,high,low,close,volume,note
2022-11-18,43.2100,45.1000,43.2000,43.6800,20773573,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-11-21,43.5200,44.0100,41.8000,42.3800,17547933,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-11-22,42.3500,43.0700,41.6000,42.2900,10927039,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-11-23,42.1100,42.8800,41.9100,42.6600,11977432,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-11-24,42.7000,42.9400,40.7800,40.9500,16568932,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-11-25,41.0300,41.2400,40.0300,40.4500,19986082,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-11-28,40.0000,40.7200,39.5000,39.9400,15120197,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-11-29,40.0400,40.5800,39.3100,40.1000,15346344,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-11-30,39.9000,40.5500,39.4800,39.9600,11896206,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-12-01,40.5000,41.2500,39.9400,40.9000,16327677,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-12-02,40.4500,41.5000,40.0400,40.1000,14936806,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-12-05,40.5000,41.1300,39.9000,40.3000,13553583,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-12-06,40.2000,40.6700,39.8000,39.9700,11502788,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-12-07,40.0200,40.3500,39.5300,39.7100,11314589,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-12-08,39.7200,39.9000,38.9200,39.6200,11817332,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-12-09,39.6100,40.0000,38.8000,39.5000,21933329,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-12-12,39.4500,40.5000,39.2700,39.9400,16815965,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-12-13,39.7900,40.3000,38.7600,38.7900,11846846,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-12-14,38.8100,39.2900,38.4000,38.9000,8486964,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-12-15,38.8900,39.2000,38.5100,38.7900,7672092,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-12-16,38.6800,38.7200,37.9000,38.3900,13260211,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-12-19,38.3700,38.7800,37.5000,38.5000,6749452,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-12-20,38.0000,38.3000,36.4400,36.7900,16093049,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-12-21,37.0700,37.7600,36.6000,36.8600,8034637,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-12-22,37.1300,38.2300,36.9000,37.6700,11500964,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-12-23,37.6600,39.2000,37.4700,38.5000,13833237,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-12-26,38.4900,39.9100,38.4900,39.5900,11884046,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-12-27,39.7200,39.9700,39.1100,39.7400,7988180,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-12-28,39.8300,40.1900,39.1200,39.3100,9761975,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-12-29,39.3500,40.5000,38.9000,40.3700,12667767,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2022-12-30,40.3100,41.1800,40.2000,40.4600,9306386,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-01-03,40.3500,42.1700,40.1100,41.9000,18878516,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-01-04,42.0700,43.0500,41.3700,42.7600,25784166,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-01-05,42.3200,42.7400,41.7000,42.0900,9920643,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-01-06,42.4300,44.0000,41.7000,42.2100,21846478,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-01-09,41.5800,43.1100,40.9000,42.5300,19154367,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-01-10,42.5900,43.7800,42.1300,42.9800,13794964,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-01-11,42.9500,42.9500,41.7000,41.9800,16814479,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-01-12,41.9100,42.4400,41.4000,42.0800,12788190,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-01-13,42.2400,42.3700,41.6100,42.2100,7900505,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-01-16,42.4900,44.4200,42.2100,44.0000,24010707,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-01-17,43.7700,44.4900,43.5600,43.9900,10852488,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-01-18,44.0000,46.7200,43.9200,46.0000,23782633,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-01-19,46.0000,46.7700,45.5400,46.3900,15864651,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-01-20,46.2500,46.9700,45.7500,46.2100,11401406,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-01-30,47.0000,48.3500,46.0000,46.2900,18207766,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-01-31,46.6900,47.6500,46.0800,47.2200,19731935,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-02-01,47.2100,48.1000,46.9600,47.7800,19359797,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-02-02,49.8000,50.4000,46.3500,47.2200,52317795,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-02-03,47.4200,48.2200,46.8900,47.8400,25294797,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-02-06,47.6500,48.0000,46.8400,47.3700,15182187,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-02-07,47.1200,47.3000,45.9000,46.6600,21300850,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-02-08,46.9000,48.0000,46.4500,47.8000,14076523,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-02-09,47.7900,47.7900,46.4000,47.2800,19844570,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-02-10,47.0600,47.0700,45.8200,46.4000,19393361,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-02-13,46.1800,47.2500,46.1800,46.3600,20455657,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-02-14,46.4500,46.7700,45.9200,46.3600,13279038,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-02-15,46.3000,46.8700,46.1500,46.3100,9924544,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-02-16,46.3100,46.5000,45.0000,45.4300,19210141,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-02-17,45.2000,45.5500,43.9300,43.9700,20040879,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-02-20,44.5000,44.9500,44.0500,44.7600,10899062,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-02-21,44.7800,46.0700,44.3100,45.3000,20758499,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-02-22,44.8800,44.9900,43.9400,44.5500,17176319,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-02-23,44.3600,44.8000,43.7800,44.2000,9382717,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-02-24,44.1000,45.1000,44.1000,44.5100,14965107,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-02-27,43.9100,45.9900,43.9000,44.3200,16218491,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-02-28,44.5100,45.3000,43.8800,44.4000,17130776,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-03-01,44.4000,45.3800,44.1100,45.2800,15627974,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-03-02,45.0200,46.1100,44.6700,45.3700,11873465,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-03-03,45.3500,45.7400,44.8600,45.4900,10387001,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-03-06,45.9000,46.5500,45.2800,46.2100,13662226,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-03-07,46.1200,46.1200,44.0000,44.0800,18214190,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-03-08,44.0900,44.9400,44.0100,44.7700,11687205,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-03-09,44.4500,45.7900,43.7600,45.5900,14539596,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-03-10,45.4200,45.8400,45.1000,45.2700,9241096,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
2023-03-13,45.1000,47.5800,44.5000,46.9900,23114373,sh.600570 | 恒生电子 | baostock | adjustflag=3 raw
