time,open,high,low,close,volume,note
2025-09-05,378.0200,418.8800,361.7200,407.0000,79255067,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-09-08,394.0000,394.0000,344.0000,369.9900,74111648,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-09-09,365.0200,372.6100,347.0000,359.2900,48063109,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-09-10,378.0000,395.4800,370.5800,385.0000,62010239,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-09-11,402.1900,443.9900,402.1900,439.9700,65680163,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-09-12,417.0000,431.9900,410.0000,422.0900,47250565,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-09-15,410.0000,419.9700,397.6400,408.0200,35752541,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-09-16,410.0300,421.9700,396.2200,411.4200,44253263,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-09-17,405.0000,412.9800,391.1100,406.2000,32431621,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-09-18,394.2100,429.9900,389.2100,409.4000,56160786,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-09-19,415.4000,425.0000,400.0300,421.5000,46653593,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-09-22,417.2900,421.8000,394.6800,418.0000,41268476,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-09-23,447.0100,457.0100,418.0000,434.2900,53444036,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-09-24,416.0100,435.0000,410.0000,423.5000,39338586,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-09-25,416.0100,442.9600,404.0000,434.6000,50559151,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-09-26,429.0500,442.3000,413.7000,413.7000,35111815,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-09-29,410.1200,433.1700,403.0900,416.7500,42905921,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-09-30,418.5100,435.0000,398.0600,403.6800,39289331,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-10-09,419.0000,426.6600,397.6800,398.8100,39090946,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-10-10,399.0100,407.8000,381.0100,390.0000,38428592,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-10-13,369.0000,382.0000,361.8000,376.9900,40931349,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-10-14,385.0000,385.9400,344.0000,346.1000,51433907,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-10-15,345.0000,357.0000,337.0000,354.1200,35317253,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-10-16,351.1400,379.3000,350.0300,366.9700,34256818,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-10-17,367.1700,381.9100,360.0000,373.6000,46763644,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-10-20,408.1900,421.2100,395.5800,403.0000,60155062,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-10-21,410.0000,451.4800,405.0000,441.5000,56517865,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-10-22,436.0900,457.5000,436.0900,444.3000,39749910,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-10-23,441.0800,443.0000,425.7000,440.8800,27601113,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-10-24,450.0000,495.6500,437.1000,494.0000,49102526,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-10-27,503.9800,515.0000,495.5600,508.9400,45072389,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-10-28,503.3000,536.0000,501.0000,513.0000,41796087,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-10-29,538.0100,542.0100,506.1600,520.7200,41727105,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-10-30,516.5100,538.0000,509.0000,514.7400,45330984,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-10-31,503.0000,509.0000,472.0000,473.0100,56301279,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-11-03,470.6700,483.4000,457.5100,480.0000,39840875,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-11-04,489.6000,504.2900,473.8800,477.8000,36085368,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-11-05,462.0200,480.0000,458.7900,477.0100,26408751,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-11-06,488.0000,507.8800,482.2700,496.8800,37325144,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-11-07,491.0000,499.7900,479.0000,490.0500,24309960,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-11-10,488.8800,495.8800,460.0000,490.0000,35211079,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-11-11,493.6800,499.6600,464.0000,468.0500,32513112,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-11-12,459.6300,492.3900,450.0100,491.7500,42302225,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-11-13,489.2800,489.2800,470.0100,481.0000,31331746,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-11-14,465.1800,473.8800,454.2200,462.8200,24727266,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-11-17,475.2000,488.6400,468.4000,483.2000,28246626,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-11-18,474.7000,490.8000,470.0100,472.9100,24067856,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-11-19,472.4300,499.7000,472.0000,488.6000,33786539,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-11-20,515.0000,522.3800,490.3300,492.0000,35352207,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-11-21,472.9900,483.0000,460.0000,464.0100,41412280,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-11-24,470.0000,476.9900,436.9600,456.8000,46425800,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-11-25,477.0100,494.8000,470.0100,479.6600,43936481,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-11-26,475.2000,556.8800,470.4000,543.2200,62895148,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-11-27,537.0000,558.7700,523.3600,524.0000,43732767,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-11-28,527.2000,529.8000,508.6000,514.5000,32465730,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-12-01,524.0000,546.5000,515.0000,538.0000,37286705,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-12-02,542.0000,551.1300,535.5000,542.0000,27161533,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-12-03,540.5400,558.5800,522.1100,523.7300,36832752,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-12-04,517.3700,536.5300,512.3400,535.5000,26319447,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-12-05,539.5300,545.0000,525.0000,537.0500,28282591,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-12-08,543.0000,585.0000,539.0000,570.0000,40822440,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
2025-12-09,570.0900,613.0000,568.5400,606.0000,37129333,sz.300308 | 中际旭创 | baostock | adjustflag=3 raw
