time,open,high,low,close,volume,note
2025-10-31,140.7200,142.4400,139.6000,139.9200,6570573,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-11-03,139.8000,140.6800,135.8800,137.6900,6733465,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-11-04,137.7000,138.4900,136.1000,137.0000,3826026,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-11-05,136.2900,140.6900,136.0100,138.9800,4936283,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-11-06,139.1300,139.5300,137.5300,137.8000,3691267,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-11-07,137.5300,139.3000,137.5300,137.6600,3300900,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-11-10,138.2400,142.0000,137.0000,141.7700,6345819,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-11-11,141.1000,141.8000,140.1200,141.5000,3341468,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-11-12,141.5000,141.5000,138.0900,139.8800,3518442,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-11-13,139.9900,140.1700,137.6000,138.0200,4252376,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-11-14,137.5400,138.5600,136.8800,136.8800,2994359,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-11-17,136.5500,136.8000,133.3300,134.0000,4858515,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-11-18,133.5200,134.4000,132.4000,134.2500,4080338,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-11-19,134.3000,134.4900,131.0600,131.1100,3283546,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-11-20,131.9900,132.3200,130.1300,130.6900,2818701,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-11-21,130.1500,135.4700,129.8800,133.5000,6151234,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-11-24,133.1000,135.5000,133.1000,134.7000,3431129,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-11-25,134.7000,135.5000,132.9500,133.6900,3128991,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-11-26,133.5000,134.7700,131.7200,131.9000,3246435,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-11-27,131.9900,133.1600,130.0700,132.1000,3490027,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-11-28,132.3500,133.9600,132.0400,133.1000,2580722,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-12-01,132.9000,132.9000,129.8900,131.3000,4236161,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-12-02,130.8600,131.6500,128.6800,128.7100,3398991,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-12-03,129.0000,129.8800,128.6000,128.8800,2643198,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-12-04,128.9700,130.1800,128.7100,128.8700,2225589,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-12-05,129.3900,130.8600,127.6000,130.6100,3641123,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-12-08,130.6000,131.1900,129.4300,129.7200,3425503,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-12-09,130.0000,130.8200,128.4700,128.9800,3025532,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-12-10,128.9800,130.1900,127.9100,129.7900,2914998,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-12-11,129.9900,129.9900,128.7000,128.7000,2565743,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-12-12,129.0200,129.7700,127.6300,128.6300,4879051,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-12-15,128.4500,130.5300,128.3100,129.8000,4621682,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-12-16,129.9800,129.9800,127.0100,127.1900,3422188,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-12-17,127.1900,127.7500,126.0100,127.4600,3510539,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-12-18,126.8400,127.9900,126.5200,126.8600,2949545,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-12-19,127.0600,128.0000,126.6100,127.3400,2864116,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-12-22,127.7900,128.4200,126.7200,128.4000,3122884,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-12-23,128.4300,128.4300,125.3000,125.3600,5183744,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-12-24,125.3900,126.5300,124.8300,126.3500,3435270,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
2025-12-25,125.9400,129.9400,125.6800,129.6200,4835637,sh.688271 | 联影医疗 | baostock | adjustflag=3 raw
