time,open,high,low,close,volume,note
2019-09-02,86.5200,87.6800,85.4700,87.4200,7714634,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-09-03,87.0800,87.3800,83.5000,83.9300,9808212,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-09-04,84.2700,84.6000,80.0000,81.9500,15555084,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-09-05,82.1600,82.9800,81.3000,82.2000,11144503,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-09-06,82.2000,82.6600,80.6300,82.1600,8506120,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-09-09,82.5100,83.1000,81.5900,82.1100,10091888,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-09-10,82.4400,83.5000,81.3100,82.0200,10448311,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-09-11,82.0000,82.0500,79.3000,80.8500,9658485,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-09-12,81.0500,81.1000,79.0200,80.6400,7972549,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-09-16,80.7000,81.9000,80.1800,80.9700,8141810,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-09-17,80.8500,81.8000,79.7300,80.4200,6440802,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-09-18,80.6400,83.8900,80.6400,82.9000,13825859,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-09-19,83.2700,83.8800,81.2500,82.4000,8597786,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-09-20,82.5500,85.3000,82.5100,84.5000,9294562,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-09-23,84.2000,84.3200,82.1200,82.6000,6155832,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-09-24,82.7900,85.6600,82.1800,85.0000,9905339,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-09-25,84.6300,88.0000,84.4200,86.3900,12731232,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-09-26,86.3300,87.7600,85.0000,86.0000,8068056,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-09-27,85.9900,88.4200,83.4000,87.0400,8847508,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-09-30,86.9200,87.4800,85.0700,86.7000,6374398,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-10-08,85.8500,87.8700,83.2600,83.7000,10842902,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-10-09,83.5000,83.7000,81.2900,83.4600,8827674,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-10-10,84.1500,88.6700,84.0000,88.2300,14920557,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-10-11,88.9300,90.3800,87.4800,88.6300,7797782,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-10-14,90.2000,90.9200,87.0000,88.3000,7196243,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
2019-10-15,88.3000,90.4900,87.2000,88.0000,6447831,sh.603259 | 药明康德 | baostock | adjustflag=3 raw
