time,open,high,low,close,volume,note
2025-11-26,236.0200,250.0000,235.1400,246.1000,16994594,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-11-27,244.0200,251.2300,238.3500,239.0900,16479575,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-11-28,236.6500,252.0000,236.6500,249.1900,18383566,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-12-01,249.9200,253.2900,241.0000,249.0800,15490978,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-12-02,246.0100,249.0000,242.2600,245.4100,9776484,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-12-03,240.0000,246.5200,236.1000,241.8800,11828796,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-12-04,236.0100,242.8400,232.2200,238.7300,10747544,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-12-05,240.3300,243.0000,236.3600,238.1300,9821745,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-12-08,242.0000,275.8300,241.5800,273.0000,25207609,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-12-09,269.0300,282.3900,267.8000,270.3700,20675400,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-12-10,269.3900,269.6900,252.0200,258.9900,14648830,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-12-11,266.0200,267.0200,255.2800,259.0000,15621231,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-12-12,260.7500,271.2000,256.2400,265.5500,19475080,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-12-15,249.8000,251.8900,243.5100,244.0000,15302327,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-12-16,245.9900,251.3200,238.7500,240.4200,11043390,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-12-17,240.6700,252.5000,237.0000,251.2800,12796874,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-12-18,254.0000,263.8800,253.0200,258.5400,15106094,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-12-19,267.0000,268.6000,242.0800,243.9700,18439114,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-12-22,248.0000,250.9900,242.9800,244.1800,11983556,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-12-23,243.0000,249.0000,237.9500,242.6600,12282893,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-12-24,247.0000,259.9000,247.0000,255.4400,18986958,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-12-25,255.0100,270.3000,253.0000,255.2200,17131777,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-12-26,254.5100,273.4500,253.6800,266.8900,19889568,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-12-29,262.6300,276.1800,255.5500,258.8600,16915696,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-12-30,255.1200,268.9000,252.5000,254.7500,13084484,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2025-12-31,255.9800,257.0000,243.9900,244.8400,11625588,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-01-05,255.6900,283.5000,255.2700,283.3600,28255532,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-01-06,280.7500,295.5300,273.2800,287.6500,24147521,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-01-07,320.0500,326.1600,288.8800,292.9500,27752140,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-01-08,290.0300,297.5500,282.6600,283.9000,15743933,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-01-09,276.4100,280.4900,271.8000,277.5500,14170256,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-01-12,286.0000,288.0000,273.5300,285.3200,18214054,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-01-13,281.2000,289.7000,274.3200,276.4900,13025889,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-01-14,287.0100,295.6600,277.4300,284.7500,20720355,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-01-15,277.7600,320.8800,276.9000,311.5000,24824169,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-01-16,312.8800,366.0000,306.9100,353.4800,29503069,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-01-19,343.5100,349.5000,334.0700,336.2500,23080763,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-01-20,323.1400,348.2000,323.1400,341.9900,22083824,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-01-21,340.5000,355.8100,336.8800,346.6200,18468639,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-01-22,365.0000,377.0000,338.0000,361.8100,23394841,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-01-23,352.2000,375.2400,347.8800,374.0000,20714270,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-01-26,368.0000,379.9900,356.2200,360.5000,15713551,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-01-27,351.0300,369.8800,340.0100,368.4500,17550503,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-01-28,368.0000,377.8900,364.2100,371.2000,16107486,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-01-29,372.2000,389.0000,357.5400,358.8000,17484264,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-01-30,348.0000,358.7400,330.8000,336.0000,22751546,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-02-02,324.9200,324.9200,299.0000,299.8000,20700178,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-02-03,311.0000,314.0000,299.8100,306.0300,15873735,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-02-04,300.1300,305.8000,295.2100,302.0000,11262369,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-02-05,290.0000,295.8900,288.8800,292.7200,9554162,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-02-06,288.8800,292.4600,285.0000,288.0000,7899010,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-02-09,292.4000,295.0000,287.0200,293.9500,11144459,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-02-10,291.9300,294.3900,287.1500,288.3700,7996769,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-02-11,284.0000,288.5600,282.0100,284.1400,6263537,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-02-12,289.7500,293.0600,285.8000,292.7100,12081123,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-02-13,289.7900,312.5900,287.0300,303.6900,16073205,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-02-24,304.4700,313.2000,301.9100,308.5000,12254834,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-02-25,301.8500,302.0000,293.3500,297.7500,10505182,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-02-26,297.0000,304.0000,290.0000,299.8100,11064094,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-02-27,294.0000,294.4200,289.0900,291.7000,7997892,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-03-02,281.0000,288.8700,280.1800,282.9800,8527113,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-03-03,282.0200,285.0000,262.9000,262.9000,12119161,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-03-04,280.1500,306.7500,280.1500,301.9900,26844715,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-03-05,308.0200,310.8500,295.2300,296.3000,21507895,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-03-06,294.8200,311.9500,293.9500,306.0000,17081397,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-03-09,297.9800,330.2500,297.5000,330.1200,24549549,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-03-10,337.0000,340.4400,324.6800,333.5100,21807535,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-03-11,333.0000,333.8800,323.0200,324.5900,16485448,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-03-12,323.5000,331.2000,315.0100,319.0000,12511184,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-03-13,318.0000,337.0000,316.0300,326.1700,18562885,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-03-16,326.0000,355.9900,322.0000,346.8000,21876975,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-03-17,343.0000,345.2700,330.5000,331.9000,15373398,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-03-18,342.0000,365.0000,340.0200,359.3000,24290372,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-03-19,348.0000,368.5900,342.5600,356.5000,21269790,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-03-20,349.8500,351.4900,328.0000,330.1000,21820986,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-03-23,310.0000,323.8800,305.0000,306.2000,14769881,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-03-24,310.0000,325.8700,291.4000,323.5000,17098226,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-03-25,322.8800,349.9500,320.0000,338.1600,18420823,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-03-26,325.1200,334.5800,318.1000,327.0000,14229661,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-03-27,310.0000,327.1300,308.0200,320.0300,11960367,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-03-30,310.2400,329.8000,310.1800,315.0000,12671352,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-03-31,302.0000,304.9800,291.0000,297.0800,15063469,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-04-01,319.0000,323.0000,295.0900,299.1100,19344610,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-04-02,300.4000,305.0100,289.0000,289.4400,11721105,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-04-03,291.5000,294.6800,285.0800,285.5700,8367670,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-04-07,290.8200,301.3300,288.1400,297.5000,11513118,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-04-08,318.1100,323.9500,306.6900,323.9200,16787796,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-04-09,316.7500,331.0600,315.0000,325.5000,14243637,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-04-10,333.0000,347.6900,330.8000,341.3000,19047067,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-04-13,340.1600,356.9900,338.6000,354.5000,18711892,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-04-14,357.9100,393.8600,355.0000,381.5100,24165987,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-04-15,387.0000,387.5100,368.5500,371.5700,19202220,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-04-16,356.0000,375.1800,356.0000,372.0600,15440194,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
2026-04-17,366.0000,373.7300,358.0000,370.5200,14009134,sz.301308 | 江波龙 | baostock | adjustflag=3 raw
