time,open,high,low,close,volume,note
2022-07-06,4.4400,4.4500,4.3800,4.4100,12628298,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-07-07,4.4100,4.4400,4.4000,4.4000,8289666,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-07-08,4.4000,4.4400,4.3900,4.4100,8355480,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-07-11,4.4100,4.4400,4.4000,4.4200,9766299,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-07-12,4.4200,4.4700,4.3900,4.4100,12314440,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-07-13,4.4400,4.4500,4.4300,4.4300,8248418,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-07-14,4.4400,4.4700,4.4200,4.4300,9213340,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-07-15,4.4300,4.4700,4.4000,4.4000,8981888,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-07-18,4.4100,4.4900,4.4000,4.4800,14158787,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-07-19,4.3800,4.3800,4.3300,4.3400,11729069,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-07-20,4.3600,4.4300,4.3500,4.4100,11446748,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-07-21,4.4000,4.4400,4.3800,4.4000,9629846,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-07-22,4.4300,4.4300,4.3400,4.4000,9586511,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-07-25,4.4000,4.4200,4.3600,4.3800,9142027,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-07-26,4.3600,4.4200,4.3600,4.4100,6326632,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-07-27,4.4200,4.4200,4.3800,4.4000,5843687,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-07-28,4.4000,4.4300,4.3900,4.4200,9504001,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-07-29,4.4300,4.4300,4.3800,4.3900,8589912,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-08-01,4.3700,4.4200,4.3700,4.4200,8835619,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-08-02,4.4000,4.4000,4.2400,4.3500,22941077,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-08-03,4.3400,4.4000,4.3200,4.3200,11087341,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-08-04,4.3200,4.3500,4.2800,4.3100,7943456,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-08-05,4.3300,4.4400,4.2900,4.4300,16418554,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-08-08,4.4400,4.4400,4.4000,4.4100,9392290,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-08-09,4.4300,4.4300,4.3800,4.4000,8137153,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-08-10,4.3800,4.4200,4.3800,4.3900,6090943,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
2022-08-11,4.4000,4.4500,4.3900,4.4500,10424715,sh.688009 | 中国通号 | baostock | adjustflag=3 raw
