time,open,high,low,close,volume,note
2021-01-15,277.9400,294.0000,277.9400,291.0000,4306334,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-01-18,290.4900,318.8500,290.4900,314.0300,3779190,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-01-19,315.9700,324.8000,312.6800,313.9800,2513226,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-01-20,313.9800,326.0000,313.9800,325.2200,2358113,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-01-21,328.5000,328.8800,311.2000,325.3600,2210683,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-01-22,325.0000,331.7200,316.5000,330.3900,2171711,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-01-25,324.0200,335.0000,315.2600,333.0700,2466826,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-01-26,331.8300,345.9900,323.1300,337.2300,2055328,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-01-27,337.2500,355.0000,330.7200,351.2000,2113249,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-01-28,343.9500,353.2000,316.0000,347.0000,2722101,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-01-29,338.9600,338.9600,300.0000,303.5000,2984293,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-02-01,306.0000,309.6100,289.1100,291.3200,2567336,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-02-02,289.5000,300.7700,285.5100,292.7500,1683000,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-02-03,295.6900,299.1800,283.9600,283.9600,1603146,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-02-04,286.0000,288.6300,268.9600,275.8700,2015431,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-02-05,275.9000,281.3500,268.3000,269.6300,1507145,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-02-08,269.3800,277.8800,265.1000,274.6500,1503337,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-02-09,274.0000,279.2500,269.3500,275.2000,1736916,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-02-10,275.6300,278.5000,268.4300,269.6000,1758586,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-02-18,274.0000,287.7900,272.5100,281.9600,2156874,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-02-19,282.0100,282.0100,274.2200,276.5000,1397167,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-02-22,280.0000,280.0000,269.0000,271.6600,1336282,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-02-23,270.9600,282.7800,268.7000,280.1800,1520593,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-02-24,281.3400,292.6800,271.7000,272.3100,2279788,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-02-25,274.0300,276.3000,267.1000,273.3000,1086095,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-02-26,270.1800,272.0000,260.5000,262.9500,1332748,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-03-01,266.0000,271.8000,259.1000,269.7600,1289828,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-03-02,271.6800,277.7200,268.5800,270.9900,1441536,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-03-03,267.0000,275.3000,267.0000,275.3000,943785,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-03-04,267.0000,270.9800,255.0000,257.2000,1979347,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-03-05,258.3000,258.9900,252.0000,253.2300,1493553,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-03-08,254.3400,256.3200,245.5000,246.3900,1304379,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-03-09,245.0000,245.0400,232.4100,233.7300,1416829,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-03-10,239.9000,239.9800,230.6600,231.2100,990958,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-03-11,233.0000,246.3500,232.9900,243.6700,1304534,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-03-12,242.2700,243.9600,230.4700,232.7500,1497312,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-03-15,232.7600,232.7600,222.0800,225.0000,1220490,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
2021-03-16,228.6200,228.9900,218.1000,220.3000,1090189,sz.300661 | 圣邦股份 | baostock | adjustflag=3 raw
