time,open,high,low,close,volume,note
2023-02-17,29.5700,29.7500,27.7800,27.8200,92911402,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-02-20,27.8800,30.2000,27.6600,29.9600,96714831,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-02-21,29.6000,30.7600,29.3300,29.5900,87024879,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-02-22,29.4600,30.8900,28.9300,30.3500,80896664,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-02-23,30.1000,30.2700,29.0100,29.0900,61037883,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-02-24,30.1700,32.0000,30.0100,31.5700,172736071,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-02-27,31.5400,32.3200,31.0800,31.4100,119061144,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-02-28,32.3200,32.6100,31.1900,32.3300,121181494,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-03-01,32.0100,35.3800,31.8800,34.3300,157163720,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-03-02,34.1800,35.0000,33.8200,34.1800,99181563,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-03-03,32.8500,33.6000,31.3800,33.0000,176729437,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-03-06,33.0000,34.5600,33.0000,33.7900,120588277,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-03-07,33.7900,33.8300,32.0900,32.4300,88985272,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-03-08,32.3900,33.0200,31.7500,33.0000,76970008,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-03-09,32.9600,34.3500,32.4300,33.6000,91040193,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-03-10,33.0200,33.5000,32.2200,32.2300,70871029,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-03-13,32.0100,34.1400,32.0100,33.8200,90821986,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
2023-03-14,33.5100,33.6900,32.1100,32.8200,84274840,sh.603019 | 中科曙光 | baostock | adjustflag=3 raw
