time,open,high,low,close,volume,note
2024-05-06,42.6600,44.5600,42.6600,43.4000,41855916,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-05-07,43.7300,44.0700,42.3800,42.8800,31389863,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-05-08,42.6900,42.6900,40.6000,40.9400,35820223,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-05-09,41.0000,41.8500,40.8900,41.1900,26529388,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-05-10,41.1800,41.3500,39.4500,39.6500,32160085,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-05-13,39.5100,39.6000,38.2900,38.5100,27736109,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-05-14,38.9600,39.8000,38.6000,39.3000,29621924,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-05-15,39.2000,40.3100,38.8300,39.5100,31788908,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-05-16,39.7100,39.9800,38.8600,38.9000,26533098,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-05-17,38.6000,39.7000,38.3000,39.5100,26302651,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-05-20,39.4800,40.3300,38.8800,40.0900,26852466,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-05-21,40.6000,41.8800,40.1900,40.8100,49435474,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-05-22,40.4100,42.3000,40.0300,41.4600,44174560,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-05-23,41.7700,41.8800,40.6100,40.6100,33545542,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-05-24,40.6900,41.4900,39.5000,39.5000,30831928,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-05-27,39.6200,40.2200,38.5000,39.8600,28091055,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-05-28,39.6200,40.1000,38.6100,38.6100,25503513,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-05-29,38.8100,39.1900,37.7500,38.0300,27505278,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-05-30,37.9500,38.3600,37.4600,38.0400,19974545,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-05-31,38.3300,41.1800,38.0100,39.7800,52862553,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-06-03,40.0300,40.5600,39.5100,40.1100,31337829,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-06-04,39.9400,40.1700,39.0900,39.5200,24034322,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-06-05,39.5600,40.3900,38.9700,38.9700,23615209,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-06-06,39.0900,40.1000,38.4600,38.6700,34886097,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-06-07,39.1200,39.3400,36.9800,37.5500,35310877,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-06-11,37.3000,38.9300,37.0000,38.8200,28387192,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
2024-06-12,38.8000,40.1600,38.7000,39.3800,31012700,sz.301236 | 软通动力 | baostock | adjustflag=3 raw
