time,open,high,low,close,volume,note
2026-05-20,11.2000,11.2500,11.1300,11.1800,3405200,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-05-21,11.2400,11.4000,11.1100,11.1200,10143273,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-05-22,11.1700,11.1900,10.9800,10.9900,6779400,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-05-25,10.9700,11.1200,10.8100,10.9000,8196450,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-05-26,10.9000,11.0500,10.8200,11.0400,5638399,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-05-27,11.0400,11.1500,10.8600,10.9200,4832600,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-05-28,10.8700,10.9300,10.7400,10.8700,4097511,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-05-29,10.8800,11.1800,10.8200,11.0300,8839600,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-06-01,11.0300,11.2200,10.9300,11.2000,8945521,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-06-02,11.1600,11.2200,11.1000,11.1600,4973301,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-06-03,11.1500,11.1600,10.9100,11.0200,6265064,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-06-04,11.0100,11.0400,10.7000,10.7900,7306201,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-06-05,10.7800,10.9900,10.7800,10.8800,4469500,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-06-08,10.7500,10.9200,10.6200,10.6900,5050099,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-06-09,10.7300,10.8100,10.6200,10.7100,3411696,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-06-10,10.7100,11.2400,10.6700,11.2400,15966426,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-06-11,11.1500,11.1600,10.7100,10.7600,12224261,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-06-12,10.8300,11.1500,10.7200,11.1000,9854280,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-06-15,11.0000,11.2200,10.9900,11.1800,6679095,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-06-16,11.1700,11.2700,10.9600,11.0500,6972250,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-06-17,10.9800,11.0500,10.7800,10.9400,6662013,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-06-18,10.8600,11.0000,10.7600,10.9500,5665551,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
2026-06-22,10.9100,10.9900,10.6000,10.9700,7972501,sh.600054 | 黄山旅游 | baostock | adjustflag=3 raw
