time,open,high,low,close,volume,note
2026-05-14,6.5600,6.5900,6.2900,6.3200,132724967,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-05-15,6.3200,6.3400,6.1600,6.2100,98413697,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-05-18,6.1900,6.2000,6.0000,6.0500,136196748,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-05-19,6.0500,6.2000,6.0500,6.1700,107233168,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-05-20,6.1500,6.1600,6.0100,6.0800,82137423,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-05-21,6.0900,6.1500,5.8500,5.8700,131829129,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-05-22,5.9000,5.9100,5.8000,5.8200,93367022,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-05-25,5.7900,5.9600,5.7900,5.8700,80232962,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-05-26,5.8500,5.8800,5.7600,5.8500,107676304,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-05-27,5.8300,5.8400,5.6100,5.6700,119410073,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-05-28,5.6500,5.7900,5.5800,5.6100,111099827,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-05-29,5.6400,6.0200,5.6300,5.7700,266939583,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-06-01,5.7200,5.8400,5.6600,5.7400,160288800,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-06-02,5.7400,5.7800,5.5600,5.6000,173085389,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-06-03,5.5800,5.5800,5.4300,5.5000,161641216,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-06-04,5.4800,5.5200,5.3100,5.3800,172212217,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-06-05,5.4000,5.5100,5.3500,5.3600,110133413,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
2026-06-08,5.3000,5.3500,5.2600,5.2700,113069593,sh.600048 | 保利发展 | baostock | adjustflag=3 raw
