time,open,high,low,close,volume,note
2023-01-05,23.4300,24.2000,23.3800,24.0000,23371806,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-01-06,23.9000,24.2000,23.8300,23.9800,17336277,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-01-09,24.0500,24.3000,23.9000,24.0200,14160124,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-01-10,24.4500,25.2700,24.3700,25.1000,56330180,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-01-11,25.3500,27.3200,25.2400,26.1500,103263020,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-01-12,26.1500,26.4600,25.7600,26.2800,51981442,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-01-13,26.4500,26.5800,25.9000,26.2600,41990206,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-01-16,26.0500,26.6500,26.0000,26.4900,42492215,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-01-17,26.5000,27.0700,26.4500,26.6900,38890390,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-01-18,26.6600,26.7900,26.4400,26.5000,24119950,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-01-19,26.5000,26.9700,26.3100,26.9100,31004898,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-01-20,26.8800,27.2800,26.8100,27.2500,33763058,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-01-30,27.6900,27.8100,27.1000,27.1600,39233031,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-01-31,27.1300,27.4000,26.6800,26.6800,38640066,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-02-01,26.8300,27.7500,26.8200,27.5900,43250997,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-02-02,27.9100,28.0300,27.4500,27.6100,39900371,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-02-03,27.5000,27.9200,27.3300,27.8700,35425609,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-02-06,27.6200,27.7500,27.3000,27.4500,24103200,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-02-07,27.4500,27.5900,27.1700,27.3700,21040051,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-02-08,27.4600,27.7500,26.8800,26.9500,27342822,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-02-09,26.8500,28.1000,26.8000,28.0900,48948769,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-02-10,28.0000,28.5800,27.9100,28.1800,40364448,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-02-13,27.9600,28.3300,27.7300,28.2300,34144363,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-02-14,28.2300,29.8200,28.2300,28.8600,72399139,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-02-15,28.8000,29.3800,28.5900,29.2900,46093700,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-02-16,29.0600,29.2000,27.8000,28.0300,49840405,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-02-17,28.0700,28.3400,27.1600,27.1700,37975104,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-02-20,27.0500,28.7900,26.9800,28.6300,48172274,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-02-21,28.4300,29.0900,28.2500,28.6600,34398339,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-02-22,28.4000,28.7800,27.9000,28.4100,30006140,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-02-23,28.4000,28.5600,27.9600,28.1400,19313628,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-02-24,28.4000,28.7200,27.9800,28.2500,32316712,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-02-27,28.0000,28.4000,27.6700,27.7100,25433831,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-02-28,27.8600,28.4400,27.6300,28.1400,28983571,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-03-01,28.1600,29.2600,28.0500,29.1800,56354382,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-03-02,29.4500,29.7100,28.7400,28.8100,34420223,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-03-03,29.3400,29.8000,28.8000,29.5300,63157287,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-03-06,29.4700,29.4700,28.3400,28.9100,46578970,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-03-07,28.7800,29.0400,27.6000,27.6000,46236897,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-03-08,27.4000,27.9200,27.3500,27.7700,24055549,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-03-09,27.7700,28.8900,27.7100,28.2100,38287663,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-03-10,28.0000,28.9600,27.9000,28.1900,38883522,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-03-13,28.1600,28.5000,27.9200,28.4900,25566637,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-03-14,28.4500,29.1900,27.8400,28.9700,56172819,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-03-15,29.0000,29.5500,28.7600,29.0800,52796449,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-03-16,28.8600,31.3100,28.7600,30.5900,130191719,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-03-17,30.8000,31.2900,30.3500,30.9100,92640770,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-03-20,30.9800,33.3200,30.7000,32.7600,139302617,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-03-21,32.2000,32.6300,31.6000,32.2100,79429555,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-03-22,32.0000,32.8000,31.6200,32.7900,73256807,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-03-23,32.3000,34.3900,32.1900,33.8300,117720723,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-03-24,33.5000,34.2800,32.8700,33.4000,74905099,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-03-27,33.0100,33.8800,32.4800,32.7100,71041393,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-03-28,32.7000,33.9600,32.5300,33.1800,61726284,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-03-29,32.9000,33.5700,32.0800,32.8100,64698790,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-03-30,33.0000,33.5500,32.3100,32.8700,48338168,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-03-31,32.6500,32.8600,31.9000,32.4500,52294350,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-04-03,32.5600,34.7400,32.5600,34.5500,113275225,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-04-04,34.4000,35.6000,34.1100,34.9400,102031951,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-04-06,34.6400,38.2800,34.5300,37.2300,124745937,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-04-07,37.5000,38.5500,37.0100,37.6700,87406709,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-04-10,37.8200,37.9600,35.4400,35.6000,90920393,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-04-11,35.5500,36.4100,35.2000,35.7800,57039875,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-04-12,35.5000,37.1600,35.0600,36.6000,65692313,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-04-13,36.5100,36.5100,34.5200,34.9000,67684221,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-04-14,35.1900,36.5700,34.0000,36.1200,80194301,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-04-17,36.1300,36.1400,34.8000,35.1300,53579741,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-04-18,34.9800,34.9800,33.5000,34.2900,71561485,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-04-19,34.2600,35.1200,34.1500,34.3800,51259712,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-04-20,34.3600,35.2000,33.8800,34.6900,71826802,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-04-21,34.2700,34.2700,32.0100,32.2800,106538046,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-04-24,32.4300,34.2000,32.2500,32.5300,73606993,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-04-25,32.5200,32.5300,31.0000,31.4900,64117036,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-04-26,28.3400,29.5800,28.3400,28.3400,98811613,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-04-27,27.7200,28.2600,26.8000,27.0000,93721407,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-04-28,26.8300,27.7900,26.8100,27.5500,64947346,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-05-04,27.4000,27.9400,26.8100,27.0300,45190414,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-05-05,27.0000,27.5600,26.3700,26.6900,41004861,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-05-08,26.7200,27.4600,26.7200,27.0300,36857702,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-05-09,27.0400,27.8100,26.8000,27.2300,45190119,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-05-10,27.2500,27.5600,26.8600,27.0900,32783560,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-05-11,27.3700,27.5700,27.0300,27.3000,33791742,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-05-12,27.3800,28.8200,27.3500,28.1100,76136617,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-05-15,27.8400,28.4900,27.3000,28.4100,45936571,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-05-16,28.4100,30.1500,28.3400,29.8500,83480079,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-05-17,29.6000,30.1500,29.3900,29.6900,44253163,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-05-18,29.7500,30.2500,29.4000,29.7000,34706135,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-05-19,30.0000,30.8900,29.9900,30.5200,50966868,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-05-22,30.7000,31.0300,29.3600,29.7000,44706915,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-05-23,29.7700,29.9800,29.3300,29.5000,24600594,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-05-24,29.4000,29.8800,29.0100,29.3600,28100254,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-05-25,29.3900,30.2000,29.3800,29.9900,37014750,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-05-26,30.2000,30.5200,29.7800,30.3800,32504127,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-05-29,30.9500,31.8200,30.8900,31.2000,49131566,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-05-30,31.2000,31.3600,30.4800,31.3600,35483870,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-05-31,31.3000,31.7700,30.7300,31.2000,32390768,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-06-01,30.9200,30.9800,30.3600,30.5600,36953440,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-06-02,30.5600,30.7500,29.9700,30.5300,26749438,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-06-05,30.6000,31.4000,30.5900,31.0200,37411260,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-06-06,30.8000,30.8800,29.4800,29.5500,43732701,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-06-07,30.0300,32.0000,30.0300,31.5200,77838207,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-06-08,31.2600,31.7300,30.5000,31.3300,46508663,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-06-09,31.1800,31.8600,30.6800,31.8000,54158573,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-06-12,31.9700,32.9800,31.8000,32.6200,65041219,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-06-13,32.5000,33.8300,32.2000,33.4700,64921781,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-06-14,33.7300,33.9800,32.2200,32.5600,53665204,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-06-15,32.8000,32.9000,31.9000,32.2000,39131698,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-06-16,32.1400,32.5200,31.7300,32.4300,30983857,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-06-19,32.3400,33.9900,31.8800,33.5100,58238566,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-06-20,33.0000,34.1800,32.9500,34.0000,52403470,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-06-21,33.8000,34.0800,33.0000,33.5500,38122948,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-06-26,32.9000,32.9100,31.7400,32.0100,41445041,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-06-27,32.0100,32.7000,31.8600,32.0500,22982932,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
2023-06-28,32.2200,32.3500,30.6000,31.0800,38346788,sh.600584 | 长电科技 | baostock | adjustflag=3 raw
