time,open,high,low,close,volume,note
2026-05-06,8.8800,8.9000,8.7200,8.7400,19275251,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-05-07,8.7500,8.7800,8.6400,8.6700,12414711,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-05-08,8.6700,8.7300,8.6500,8.6900,7628916,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-05-11,8.7000,8.7800,8.6200,8.7500,9697701,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-05-12,8.7500,8.7500,8.6200,8.6200,8664900,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-05-13,8.6300,8.7100,8.6000,8.6500,8477917,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-05-14,8.6500,8.9400,8.6100,8.8100,20783758,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-05-15,8.7600,8.7800,8.4600,8.5000,15663700,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-05-18,8.4900,8.5200,8.4200,8.4300,6593902,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-05-19,8.4300,8.5800,8.4300,8.5200,5333197,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-05-20,8.5000,8.5700,8.4300,8.4900,6166700,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-05-21,8.4800,8.5700,8.3500,8.3500,7810673,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-05-22,8.3600,8.4000,8.2500,8.3000,5559604,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-05-25,8.3100,8.3400,8.2300,8.3000,5826200,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-05-26,8.2600,8.3100,8.1800,8.2400,6624690,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-05-27,8.2000,8.4100,8.1000,8.2900,12073330,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-05-28,8.2600,8.2600,8.0700,8.1000,7519800,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-05-29,8.0800,8.3700,8.0600,8.2700,12705925,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-06-01,8.2600,8.3800,8.1800,8.3400,7510000,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-06-02,8.3500,8.4000,8.2300,8.2300,7637501,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-06-03,8.2900,8.2900,8.0900,8.1500,7398900,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-06-04,8.0800,8.2100,7.9800,8.0000,7076809,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-06-05,8.0500,8.1500,8.0100,8.0300,5652810,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-06-08,8.0000,8.0700,7.8500,7.9300,9411357,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-06-09,7.9300,7.9500,7.7700,7.8300,9845116,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-06-10,7.8300,7.9400,7.7900,7.9300,9975871,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-06-11,7.9200,7.9200,7.7500,7.8000,8049300,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-06-12,7.8100,7.9800,7.7500,7.9600,7248015,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-06-15,7.9500,8.1500,7.9000,8.1200,9869867,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-06-16,8.0500,8.0800,7.9100,7.9400,7149162,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-06-17,7.9600,7.9600,7.8300,7.8700,4833615,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-06-18,7.8500,7.8500,7.6900,7.7500,6421860,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-06-22,7.7000,7.7900,7.6100,7.7400,6492900,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-06-23,7.7200,7.8900,7.7100,7.7600,7658010,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-06-24,7.7200,7.7700,7.5400,7.5500,6381801,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-06-25,7.5400,7.6000,7.3800,7.5100,6292300,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-06-26,7.5500,7.5600,7.3900,7.4000,5522891,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-06-29,7.3900,7.5200,7.2100,7.4700,8192300,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-06-30,7.4500,7.4800,7.3000,7.3200,6338648,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-07-01,7.3000,7.5500,7.2900,7.5100,6918934,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-07-02,7.5100,7.6400,7.4500,7.5600,7685300,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-07-03,7.6100,7.6700,7.5500,7.6000,5102900,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-07-06,7.6200,7.7600,7.5500,7.7100,7021202,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-07-07,7.7200,7.7200,7.5000,7.6000,6015300,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-07-08,7.6000,7.7200,7.5300,7.6100,5107300,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
2026-07-09,7.6000,7.6400,7.4000,7.4200,8598400,sh.600059 | 古越龙山 | baostock | adjustflag=3 raw
