time,open,high,low,close,volume,note
2026-03-27,24.0500,24.3700,24.0100,24.2600,94772015,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-03-30,23.9900,24.1700,23.8800,24.1000,90949319,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-03-31,24.1000,24.4400,24.0300,24.0400,102248550,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-04-01,24.4300,24.6000,24.2500,24.5100,117145939,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-04-02,24.4700,24.4700,24.0800,24.1300,78873570,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-04-03,24.2200,24.2600,23.9500,23.9800,71023358,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-04-07,23.9900,24.0800,23.7700,23.9200,71443585,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-04-08,24.4500,24.7700,24.3300,24.7000,152745978,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-04-09,24.4800,24.4800,24.1000,24.1500,98740799,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-04-10,25.0100,26.5000,25.0100,25.9000,425932882,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-04-13,25.6200,26.2800,25.4900,26.0900,215163868,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-04-14,26.3000,26.3700,25.8800,26.1900,145346411,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-04-15,26.3300,26.3900,25.9700,26.0100,110753830,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-04-16,26.1200,26.4800,26.0400,26.3100,143003563,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-04-17,26.2000,26.3400,26.0800,26.2600,106035471,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-04-20,26.2300,26.4100,26.1500,26.3000,96652117,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-04-21,26.2500,26.4100,26.1500,26.3000,81388079,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-04-22,26.1600,27.0100,26.1500,26.7100,191351733,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-04-23,26.5800,26.7700,26.3500,26.4800,120581835,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-04-24,26.3700,26.3800,26.0500,26.2300,104235631,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-04-27,26.4000,27.0700,26.4000,26.7700,154596427,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-04-28,26.8500,27.6500,26.8500,27.3000,260790525,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-04-29,27.1500,27.3800,27.0200,27.3200,148566047,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-04-30,27.2300,27.7800,27.0700,27.2200,173001813,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-05-06,27.2900,27.8400,27.2900,27.4900,178738413,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-05-07,27.6300,27.6900,27.0700,27.2300,159363238,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-05-08,27.1000,27.2000,26.8300,26.9500,130062480,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-05-11,26.8300,27.4800,26.7500,27.3300,196141091,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-05-12,27.3500,27.4400,27.1300,27.2200,128173639,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-05-13,27.1500,27.4600,26.9600,27.1500,122213720,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-05-14,27.2000,27.3300,26.6600,26.6600,146758856,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-05-15,26.7600,26.8000,26.1800,26.3500,132231766,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-05-18,26.2100,26.4300,25.9800,26.1600,101863486,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-05-19,26.1200,26.3300,25.8800,26.2700,96224896,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-05-20,26.1800,26.3900,26.0000,26.0800,95927098,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-05-21,26.2800,27.0900,26.2000,26.2200,229786128,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-05-22,26.3800,26.4400,25.8100,25.8700,141086896,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-05-25,26.0500,26.4400,25.9100,26.1900,128779397,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-05-26,26.1800,26.6800,25.8900,26.2100,193176593,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-05-27,26.1800,26.4100,25.5300,25.7700,175360396,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-05-28,25.8800,25.9600,25.2100,25.3500,139450433,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-05-29,25.5300,26.7500,25.5300,26.0500,328261131,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-06-01,26.0100,26.3100,25.5300,25.6700,221410020,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-06-02,25.6000,25.6800,25.2500,25.5800,178107957,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-06-03,25.5000,25.9000,25.3400,25.6000,183238077,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-06-04,25.4200,25.8400,25.4100,25.5900,129374977,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-06-05,25.6600,26.0400,25.5900,25.6700,158096179,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-06-08,25.4100,25.8300,25.3500,25.4300,178432110,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-06-09,25.4400,25.5700,25.2100,25.5200,104687557,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-06-10,25.0600,25.7500,24.9500,25.6600,174665318,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-06-11,25.6000,26.0500,25.2200,25.5100,145581162,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-06-12,25.5600,26.4500,25.3100,26.2900,269384528,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-06-15,26.4500,27.4000,26.4400,26.8600,310465633,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-06-16,26.6900,27.2900,26.6300,27.2500,220400140,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-06-17,27.2800,27.5600,27.1600,27.3700,179774115,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-06-18,27.3500,27.3500,26.5000,26.5600,193368725,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-06-22,26.4500,28.7200,26.3800,28.6400,527085164,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-06-23,28.7000,29.3000,28.1500,28.3200,389126485,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-06-24,28.1800,28.8000,27.7000,27.8900,276274967,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-06-25,27.8800,29.0600,27.7100,28.9800,378555104,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-06-26,28.8000,29.1600,27.7100,27.7400,289516677,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-06-29,28.0000,28.9200,27.9500,28.4900,253478658,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-06-30,28.3300,28.9500,28.3200,28.7300,220333438,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-07-01,28.6600,29.8800,28.5100,29.4700,428245104,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-07-02,29.3700,29.4300,28.5600,28.6200,285532250,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-07-03,28.8800,29.1200,28.3300,28.9500,230606867,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-07-06,29.5200,29.6500,28.9200,29.2300,223854395,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-07-07,29.1400,29.1400,28.2500,28.4500,189730746,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-07-08,28.2900,28.5500,27.9800,28.0000,135465073,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
2026-07-09,28.0100,28.7600,27.8000,28.6800,190382869,sh.600030 | 中信证券 | baostock | adjustflag=3 raw
