time,open,high,low,close,volume,note
2026-05-18,4.3400,4.4600,4.2700,4.4600,28403349,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-05-19,4.4200,4.6600,4.4200,4.6300,35456200,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-05-20,4.6200,4.6700,4.5100,4.6000,27203110,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-05-21,4.5800,4.7800,4.5200,4.5400,37897701,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-05-22,4.5400,4.6000,4.4400,4.5500,20830200,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-05-25,4.5000,4.7200,4.4700,4.5100,28722401,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-05-26,4.4800,4.6500,4.3600,4.4200,24926800,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-05-27,4.3700,4.4700,4.3400,4.4000,21080000,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-05-28,4.3700,4.4900,4.2900,4.4000,21042882,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-05-29,4.3600,4.4000,4.2000,4.2300,18776100,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-06-01,4.2000,4.3900,4.1800,4.3500,15863600,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-06-02,4.3400,4.6300,4.1900,4.2200,28129278,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-06-03,4.1200,4.2000,4.0600,4.1100,22031001,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-06-04,4.1100,4.1100,3.9100,3.9500,19501460,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-06-05,3.9400,4.0300,3.8400,3.9000,15907100,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-06-08,3.8400,4.0200,3.7700,3.8600,18485982,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-06-09,3.8600,3.9400,3.7400,3.7800,13239180,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-06-10,3.7800,4.0700,3.6600,3.7600,26749070,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-06-11,3.7100,3.8100,3.6100,3.6900,20240501,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-06-12,3.7000,3.7700,3.6300,3.6500,20306800,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-06-15,3.6400,3.7000,3.5900,3.6500,17034949,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-06-16,3.6400,4.0200,3.5500,4.0200,30160809,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-06-17,4.0300,4.0400,3.8300,3.9400,28317110,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-06-18,3.8900,4.0100,3.7500,3.7700,19406781,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-06-22,3.8000,3.8100,3.6200,3.7600,16768200,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-06-23,3.8100,3.9000,3.7500,3.7700,17071501,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-06-24,3.7600,3.7600,3.4800,3.5100,29121900,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-06-25,3.5500,3.7200,3.4100,3.6200,27890260,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-06-26,3.6500,3.6600,3.4900,3.5200,18391800,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-06-29,3.5200,3.5400,3.3700,3.4600,16536248,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-06-30,3.5300,3.7100,3.4400,3.5400,20817600,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-07-01,3.5600,3.7500,3.5100,3.6500,21273500,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-07-02,3.6500,3.9900,3.6200,3.7700,25180701,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-07-03,3.7100,3.9100,3.7100,3.8500,17901300,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-07-06,3.8500,3.8900,3.6800,3.7000,17501160,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-07-07,3.6900,3.7700,3.6300,3.6800,13231848,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-07-08,3.6900,3.7000,3.5300,3.5600,10751410,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
2026-07-09,3.5300,3.6900,3.5300,3.5700,11647721,sh.600052 | 东望时代 | baostock | adjustflag=3 raw
