time,open,high,low,close,volume,note
2021-09-29,562.0100,600.0000,557.0800,589.7800,3330315,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-09-30,588.9700,599.0000,577.0000,592.8100,2204312,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-10-08,605.0000,610.0000,590.0000,599.0000,2015988,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-10-11,579.9500,598.1000,575.0100,579.0200,2311736,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-10-12,578.0100,626.5000,570.0600,614.3000,4159702,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-10-13,611.0000,659.9900,602.2600,651.4900,3927881,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-10-14,652.1400,652.1600,625.2500,640.2000,2441595,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-10-15,644.0200,668.1900,627.8900,659.2000,4031207,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-10-18,654.0000,656.0000,610.0000,624.0000,3386162,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-10-19,624.0000,644.4400,620.0000,631.3600,1962927,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-10-20,639.4300,649.9900,614.4400,632.0600,2198587,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-10-21,627.0000,639.7500,621.0000,631.3500,1659006,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-10-22,634.4200,635.3500,614.0100,621.0000,1697287,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-10-25,619.0000,631.8600,610.1000,628.5500,1469131,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-10-26,622.9900,637.0000,616.8800,624.9000,1351169,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-10-27,620.0100,632.6300,617.0700,624.9200,1426512,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-10-28,621.1100,628.0000,601.0100,604.3000,2169281,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-10-29,610.0000,633.2000,608.1000,625.7000,2277186,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-11-01,622.0000,622.0000,576.0000,587.6800,3615372,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-11-02,580.0000,597.5000,578.0000,580.5000,2100010,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-11-03,591.0000,592.6600,573.0000,581.8600,1483774,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-11-04,580.5900,586.0000,571.6000,572.5800,1619916,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-11-05,572.0000,577.2800,555.6500,564.0000,1769090,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-11-08,569.9000,581.0000,561.8300,573.9000,1362443,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-11-09,572.3000,578.9000,563.5000,569.1000,1282473,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-11-10,571.0000,577.5000,560.0000,567.0000,993286,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
2021-11-11,562.4900,569.9800,560.1000,569.2700,1016407,sz.300896 | 爱美客 | baostock | adjustflag=3 raw
