time,open,high,low,close,volume,note
2025-03-31,57.0100,57.9500,56.5000,57.4600,8418332,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-04-01,57.6000,58.7200,57.4700,57.6900,8417225,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-04-02,57.6000,58.2600,57.3200,57.8100,5653734,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-04-03,57.3500,58.3800,56.2500,56.9600,7904381,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-04-07,51.9900,53.8500,45.5700,45.5700,24500702,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-04-08,46.4500,49.1900,46.2000,47.6200,21879380,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-04-09,47.2900,50.3000,45.4100,49.8300,19075650,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-04-10,51.5800,52.4900,50.5000,50.5100,15974174,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-04-11,49.9800,52.1500,49.9200,51.3600,13310961,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-04-14,52.3000,52.8600,51.6000,51.8600,10523950,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-04-15,51.8600,52.2400,50.9000,51.3100,8418800,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-04-16,50.9200,51.4000,49.5200,50.4600,8428433,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-04-17,50.2000,51.1600,50.1000,50.1000,6749642,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-04-18,50.1000,50.5200,49.9000,50.0900,5345123,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-04-21,50.7400,52.0500,50.3600,51.9500,9957252,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-04-22,51.8000,51.9500,51.1800,51.4800,7718102,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-04-23,52.5000,53.6800,52.4900,53.2100,15179399,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-04-24,53.8200,53.9000,52.1000,52.4400,9765782,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-04-25,52.6500,53.5000,52.5900,52.9700,7545072,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
2025-04-28,53.4500,53.6000,52.8300,53.0500,7419261,sz.300496 | 中科创达 | baostock | adjustflag=3 raw
