time,open,high,low,close,volume,note
2023-03-06,301.5000,301.5000,292.8000,294.7100,1979337,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-03-07,297.6800,297.6800,284.7600,285.7100,2054471,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-03-08,283.9800,306.8200,282.0000,306.8200,5024510,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-03-09,302.6300,313.6000,296.5000,310.0000,3794624,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-03-10,305.8600,316.2300,301.3800,302.8800,2669867,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-03-13,302.8900,326.8000,297.2000,323.9900,4240585,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-03-14,321.2000,327.7700,316.0000,321.9800,3007491,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-03-15,326.0000,342.7600,307.0100,308.3300,6006080,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-03-16,305.2800,315.5000,302.5800,309.6600,3333147,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-03-17,327.0000,371.5900,323.1600,357.5000,10197258,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-03-20,362.0000,367.5000,343.0000,343.9800,7200410,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-03-21,340.9400,350.0000,333.0500,339.3000,4348235,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-03-22,334.0300,335.0000,319.0000,325.9200,7395660,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-03-23,324.3100,365.0000,322.8200,360.8200,9206061,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-03-24,353.6100,398.0100,348.0000,392.0000,9551048,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-03-27,388.4200,420.0000,372.3300,391.3700,9426579,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-03-28,406.6300,426.0000,398.0200,401.0100,8059568,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-03-29,392.8500,470.5700,389.0200,450.0000,8915151,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-03-30,455.4000,455.4000,429.2200,438.8800,6408550,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
2023-03-31,433.4500,479.7400,423.0000,473.0000,6349454,sh.688111 | 金山办公 | baostock | adjustflag=3 raw
