time,open,high,low,close,volume,note
2010-11-22,6.0600,6.1500,5.9800,6.0100,11688759,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-11-23,6.0100,6.0100,5.8700,5.9200,9351337,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-11-24,5.9200,6.0100,5.9100,5.9700,7023584,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-11-25,5.9900,6.0200,5.9100,6.0200,9771188,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-11-26,6.0100,6.0100,5.9300,5.9400,6838716,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-11-29,5.9400,5.9900,5.9000,5.9300,9371233,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-11-30,5.9300,5.9400,5.7500,5.8200,10285844,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-12-01,5.8100,6.0000,5.8100,5.9800,8978646,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-12-02,6.1600,6.3000,6.0800,6.1800,23904057,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-12-03,6.1200,6.2200,6.0100,6.2000,12406112,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-12-06,6.1800,6.3500,6.1100,6.3200,19063008,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-12-07,6.3000,6.3100,6.1600,6.2600,9144148,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-12-08,6.2200,6.2500,6.1100,6.2000,8173440,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-12-09,6.1800,6.1900,6.1000,6.1000,4768306,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-12-10,6.0800,6.2100,6.0100,6.2000,9051519,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-12-13,6.1800,6.2400,6.1200,6.2000,8588268,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-12-14,6.2200,6.2500,6.1500,6.2000,13667435,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-12-15,6.2000,6.2100,6.1100,6.1700,12474765,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
2010-12-16,6.1700,6.3000,6.1200,6.1700,11676903,sh.600011 | 华能国际 | baostock | adjustflag=3 raw
