time,open,high,low,close,volume,note
2026-06-16,7.6300,7.6500,7.5000,7.5100,13340986,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-06-17,7.5100,7.5500,7.4700,7.5200,8837990,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-06-18,7.5000,7.5200,7.4000,7.4100,10157800,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-06-22,7.4100,7.5000,7.2400,7.4900,16250700,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-06-23,7.4800,7.6000,7.4500,7.4900,16612268,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-06-24,7.5200,7.5300,7.3300,7.3300,11268166,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-06-25,7.3200,7.4100,7.2600,7.2800,10557558,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-06-26,7.2700,7.3300,7.1800,7.2600,13088798,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-06-29,7.2600,7.2600,7.1300,7.2400,11572043,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-06-30,7.2300,7.2500,7.0700,7.1300,13624175,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-07-01,7.1000,7.2800,7.1000,7.2400,12887542,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-07-02,7.2700,7.3300,7.2200,7.2700,10689304,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-07-03,7.3000,7.4100,7.2900,7.3400,10987594,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-07-06,7.3400,7.4900,7.3100,7.4700,17611496,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-07-07,7.4800,7.4800,7.3100,7.3300,12415419,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-07-08,7.3500,7.4500,7.3000,7.3900,11945848,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
2026-07-09,7.3800,7.4300,7.3000,7.3200,12451913,sh.600064 | 南京高科 | baostock | adjustflag=3 raw
